"chest","name","base","style","type","origGrade","head","legs","gloves","feet","shield","shieldSkill","profile"
"21","Shirt Set","Shirt","chestlegs","LIGHT","NG","2416","28","48","35","0","0","l1"
"22","Leather Shirt Set","Leather Shirt","chestlegs","LIGHT","NG","2416","29","1119","1129","0","0","l2"
"23","Wooden Set","Wooden Breastplate","chestlegs","LIGHT","NG","2416","2386","49","37","0","0","3500"
"24","Bone Set","Bone Breastplate","chestlegs","LIGHT","NG","2416","31","50","38","0","0","l3"
"25","Piece Bone Set","Piece Bone Breastplate","chestlegs","HEAVY","NG","7860","32","49","39","0","0","h1"
"26","Bronze Set","Bronze Breastplate","chestlegs","HEAVY","NG","7860","34","63","39","0","0","h2"
"27","Hard Leather Set","Hard Leather Shirt","chestlegs","LIGHT","NG","2416","33","51","39","0","0","l4"
"58","Mithril Heavy Set","Mithril Breastplate","chestlegs","HEAVY","D","7860","59","61","62","628","3543","3502"
"60","Composite Set","Composite Armor","full","HEAVY","C","7860","0","2462","64","107","3546","3512"
"347","Ring Mail Set","Ring Mail Breastplate","chestlegs","HEAVY","D","7860","376","63","553","0","0","h3"
"348","Scale Set","Scale Mail","chestlegs","HEAVY","D","7860","377","63","553","0","0","h4"
"349","Compound Scale Set","Compound Scale Mail","chestlegs","HEAVY","D","7860","378","63","553","0","0","h5"
"350","Dwarven Scale Set","Dwarven Scale Mail","chestlegs","HEAVY","D","7860","379","2480","2445","0","0","h6"
"351","Blast Set","Blast Plate","chestlegs","HEAVY","D","7860","2377","606","1124","0","0","h7"
"352","Brigandine Set","Brigandine Tunic","chestlegs","HEAVY","D","7860","2378","2449","2425","2493","3544","3506"
"353","Half Plate Set","Half Plate Armor","chestlegs","HEAVY","D","7860","380","61","2428","0","0","h8"
"354","Chain Mail Set","Chain Mail Shirt","chestlegs","HEAVY","C","7860","381","2453","2429","2495","3545","3509"
"355","Dwarven Chain Mail Set","Dwarven Chain Mail Shirt","chestlegs","HEAVY","C","7860","382","2456","2432","0","0","h1"
"356","Full Plate Set","Full Plate Armor","full","HEAVY","C","7860","0","2462","2438","2497","3547","3516"
"357","Zubei Heavy Set","Zubei's Breastplate","chestlegs","HEAVY","B","7860","383","5710","5726","0","0","3518"
"358","Blue Wolf Heavy Set","Blue Wolf Breastplate","chestlegs","HEAVY","B","7860","2380","5718","5734","0","0","3524"
"359","Shining Dragon Set","Shining Dragon Armor","full","HEAVY","B","7860","0","2477","2443","0","0","h2"
"360","Armor of Victory Set","Armor of Victory","chestlegs","HEAVY","B","7860","385","610","558","0","0","h3"
"361","Breastplate of Valor Set","Breastplate of Valor","chestlegs","HEAVY","B","7860","386","610","559","0","0","h4"
"362","Glorious Set","Glorious Armor","full","HEAVY","B","7860","0","2470","573","0","0","h5"
"363","Red Flame Set","Red Flame Armor","full","HEAVY","B","7860","0","2470","573","0","0","h6"
"364","Elven Crystal Set","Elven Crystal Breastplate","chestlegs","HEAVY","B","7860","387","610","562","0","0","h7"
"365","Dark Crystal Heavy Set","Dark Crystal Breastplate","chestlegs","HEAVY","A","7860","388","5765","5777","641","3550","3530"
"366","Implosion Set","Implosion Armor","full","HEAVY","B","7860","0","2470","573","0","0","h8"
"367","Dark Dragon Set","Dark Dragon Armor","full","HEAVY","B","7860","0","2477","2443","0","0","h1"
"368","Elven Vagian Set","Elven Vagian Armor","full","HEAVY","B","7860","0","2470","573","0","0","h2"
"369","Dark Vagian Set","Dark Vagian Armor","full","HEAVY","B","7860","0","2471","2441","0","0","h3"
"370","Complete Set of Plate Set","Complete Set of Plate Armor","full","HEAVY","B","7860","0","2470","573","0","0","h4"
"371","Hell Set","Hell Plate","full","HEAVY","B","7860","0","2470","573","0","0","h5"
"372","Art of Set","Art of Plate","full","HEAVY","B","7860","0","2470","573","0","0","h6"
"373","Masterpiece Set","Masterpiece Armor","full","HEAVY","B","7860","0","2470","573","0","0","h7"
"374","Nightmare Heavy Set","Armor of Nightmare","full","HEAVY","A","7860","0","5771","5783","2498","3551","3536"
"375","Dragon Scale Set","Dragon Scale Mail","chestlegs","HEAVY","S","7860","389","2476","2445","0","0","h8"
"390","Cotton Shirt Set","Cotton Shirt","chestlegs","LIGHT","NG","2416","412","49","36","0","0","l5"
"391","Puma Skin Set","Puma Skin Shirt","chestlegs","LIGHT","D","2416","413","604","40","0","0","l6"
"392","Lion Skin Set","Lion Skin Shirt","chestlegs","LIGHT","D","2416","414","605","1123","0","0","l7"
"393","Mithril Banded Set","Mithril Banded Mail","chestlegs","LIGHT","D","2416","415","63","553","0","0","l8"
"394","Reinforced Leather Set","Reinforced Leather Shirt","chestlegs","LIGHT","D","2416","416","2446","2422","0","0","3503"
"395","Manticore Skin Set","Manticore Skin Shirt","chestlegs","LIGHT","D","2416","417","2448","2424","0","0","3505"
"396","Salamander Skin Set","Salamander Skin Mail","full","LIGHT","D","2416","0","607","2427","0","0","l1"
"397","Mithril Light Set","Mithril Shirt","chestlegs","LIGHT","C","2416","2387","2452","62","0","0","3508"
"398","Plated Leather Set","Plated Leather","chestlegs","LIGHT","C","2416","418","2455","2431","0","0","3511"
"399","Rind Leather Set","Rind Leather Armor","chestlegs","LIGHT","C","2416","419","2458","2434","0","0","l2"
"400","Theca Leather Set","Theca Leather Armor","chestlegs","LIGHT","C","2416","420","2460","2436","0","0","3514"
"401","Drake Leather Set","Drake Leather Armor","full","LIGHT","C","2416","0","2461","2437","0","0","3515"
"402","Chain Mail of Silence Set","Chain Mail of Silence","full","LIGHT","B","2416","0","2470","573","0","0","l3"
"403","Gust Chain Set","Gust Chain Mail","full","LIGHT","B","2416","0","2470","573","0","0","l4"
"404","Prairie Leather Set","Prairie Leather Armor","chestlegs","LIGHT","B","2416","421","2466","574","0","0","l5"
"405","Leather Armor of The Underworld Set","Leather Armor of The Underworld","chestlegs","LIGHT","B","2416","422","2469","575","0","0","l6"
"406","Leather Suit of Concentration Set","Leather Suit of Concentration","full","LIGHT","B","2416","0","2477","2443","0","0","l7"
"407","Ace's Leather Set","Ace's Leather Armor","full","LIGHT","B","2416","0","2477","2443","0","0","l8"
"408","Guardian's Leather Set","Guardian's Leather Armor","chestlegs","LIGHT","B","2416","423","2466","578","0","0","l1"
"409","Marksman's Leather Set","Marksman's Leather Armor","chestlegs","LIGHT","B","2416","424","2466","579","0","0","l2"
"410","Unicorn Leather Set","Unicorn Leather Armor","full","LIGHT","A","2416","0","5775","5787","0","0","l3"
"411","Dragon Leather Set","Dragon Leather Armor","full","LIGHT","S","2416","0","2477","2443","0","0","l4"
"426","Tunic Set","Tunic","chestlegs","MAGIC","NG","41","462","48","36","0","0","m2"
"428","Feriotic Set","Feriotic Tunic","chestlegs","MAGIC","NG","41","463","48","35","0","0","m4"
"429","Leather Tunic Set","Leather Tunic","chestlegs","MAGIC","NG","41","464","50","37","0","0","m5"
"432","Cursed Set","Cursed Tunic","chestlegs","MAGIC","D","41","465","2489","561","0","0","m8"
"433","Elven Set","Elven Tunic","chestlegs","MAGIC","D","41","466","2450","2426","0","0","m1"
"434","White Set","White Tunic","chestlegs","MAGIC","D","41","467","2447","2423","0","0","m2"
"435","Mystic's Set","Mystic's Tunic","chestlegs","MAGIC","D","41","468","2447","2423","0","0","m3"
"436","Knowledge Set","Tunic of Knowledge","chestlegs","MAGIC","D","41","469","2447","2423","0","0","3504"
"437","Mithril Robe Set","Mithril Tunic","chestlegs","MAGIC","D","41","470","2450","2426","0","0","3507"
"438","Sage's Rag Set","Sage's Rag","full","MAGIC","D","41","0","2451","1125","0","0","m4"
"439","Karmian Set","Karmian Tunic","chestlegs","MAGIC","C","41","471","2454","2430","0","0","3510"
"440","Robe of Seal Set","Robe of Seal","full","MAGIC","C","41","0","2457","2433","0","0","m5"
"441","Demon Set","Demon's Tunic","chestlegs","MAGIC","C","41","472","2459","2435","0","0","3513"
"442","Divine Set","Divine Tunic","chestlegs","MAGIC","C","41","473","2463","1126","0","0","3517"
"443","Tunic of Mana Set","Tunic of Mana","chestlegs","MAGIC","B","41","421","2480","580","0","0","m6"
"444","Sage's Robe Set","Sage's Robe","full","MAGIC","B","41","0","2451","581","0","0","m7"
"445","Paradia Set","Paradia Tunic","chestlegs","MAGIC","B","41","421","2486","582","0","0","m8"
"446","Inferno Set","Inferno Tunic","chestlegs","MAGIC","B","41","421","2480","588","0","0","m1"
"447","Tunic of Solar Eclipse Set","Tunic of Solar Eclipse","chestlegs","MAGIC","B","41","421","2480","584","0","0","m2"
"448","Robe of Black Ore Set","Robe of Black Ore","full","MAGIC","B","41","0","2489","585","0","0","m3"
"449","Tunic of Summoning Set","Tunic of Summoning","chestlegs","MAGIC","B","41","421","2480","586","0","0","m4"
"450","Otherworldly Set","Otherworldly Robe","full","MAGIC","B","41","0","2480","587","0","0","m5"
"451","Elemental Set","Elemental Tunic","chestlegs","MAGIC","B","41","421","2480","588","0","0","m6"
"452","Tunic of Phantom Set","Tunic of Phantom","chestlegs","MAGIC","B","41","421","2470","589","0","0","m7"
"453","Tunic of Grace Set","Tunic of Grace","chestlegs","MAGIC","B","41","421","2481","590","0","0","m8"
"454","Robe of Holy Spirit Set","Robe of Holy Spirit","full","MAGIC","B","41","0","2480","591","0","0","m1"
"455","Phoenix Set","Phoenix Tunic","chestlegs","MAGIC","B","41","421","2488","592","0","0","m2"
"456","Cerberus Set","Cerberus Tunic","chestlegs","MAGIC","B","41","421","2484","593","0","0","m3"
"457","Tunic of Aid Set","Tunic of Aid","chestlegs","MAGIC","B","41","421","2480","594","0","0","m4"
"458","Robe of Blessing Set","Robe of Blessing","full","MAGIC","B","41","0","2467","595","0","0","m5"
"459","Dasparion's Set","Dasparion's Robe","full","MAGIC","A","41","0","2474","2442","0","0","m6"
"460","The Set","The Robe","full","MAGIC","S","41","0","2473","2444","0","0","m7"
"1100","Cotton Tunic Set","Cotton Tunic","chestlegs","MAGIC","NG","41","1103","48","1122","0","0","m8"
"1101","Devotion Set","Tunic of Devotion","chestlegs","MAGIC","NG","41","1104","48","35","0","0","3501"
"1102","Tunic of Magic Set","Tunic of Magic","chestlegs","MAGIC","NG","41","1105","48","35","0","0","m1"
"1146","Squire's Set","Squire's Shirt","chestlegs","LIGHT","NG","2416","1147","49","1121","0","0","l5"
