chest	members	bonus	extraId	extraDesc
21	21,28,42,49,38	Evasion +1.		
10000	10000,10035,10095,10129,10080	Evasion +2.		
10001	10001,10036,10096,10130,10081	Evasion +3.		
10002	10002,10037,10097,10131,10082	Evasion +3.		
10003	10003,10038,10098,10132,10083	Evasion +4.		
10004	10004,10039,10099,10133,10084	Evasion +5.		
22	22,29,42,50,36	P. Def. +1.8%, Casting Spd. +5.2%.		
10005	10005,10040,10095,10134,10070	P. Def. +2.6%, Casting Spd. +7.5%.		
10006	10006,10041,10096,10135,10071	P. Def. +3.6%, Casting Spd. +10.2%.		
10007	10007,10042,10097,10136,10072	P. Def. +4.4%, Casting Spd. +12.7%.		
10008	10008,10043,10098,10137,10073	P. Def. +5.2%, Casting Spd. +15%.		
10009	10009,10044,10099,10138,10074	P. Def. +6.2%, Casting Spd. +17.7%.		
23	23,2386,43,50,37	P. Def. +2%, Max HP +41.		
10010	10010,10802,10100,10134,10075	P. Def. +2.9%, Max HP +59.		
10011	10011,10803,10101,10135,10076	P. Def. +3.9%, Max HP +80.		
10012	10012,10804,10102,10136,10077	P. Def. +4.9%, Max HP +100.		
10013	10013,10805,10103,10137,10078	P. Def. +5.7%, Max HP +117.		
10014	10014,10806,10104,10138,10079	P. Def. +6.7%, Max HP +138.		
24	24,31,10110,50,37	Atk. Spd. +1.4%, P. Atk. +1.4%, STR +1, CON -1.		
10015	10015,10050,45,10134,10075	Atk. Spd. +2%, P. Atk. +2%, STR +1, CON -1.		
10016	10016,10051,10111,10135,10076	Atk. Spd. +2.7%, P. Atk. +2.7%, STR +1, CON -1.		
10017	10017,10052,10112,10136,10077	Atk. Spd. +3.4%, P. Atk. +3.4%, STR +1, CON -1.		
10018	10018,10053,10113,10137,10078	Atk. Spd. +4%, P. Atk. +4%, STR +1, CON -1.		
10019	10019,10054,10114,10138,10079	Atk. Spd. +4.7%, P. Atk. +4.7%, STR +1, CON -1.		
25	25,32,10110,49,39	P. Def. +1.8%, Max HP +103.		
10020	10020,10055,45,10129,10085	P. Def. +2.6%, Max HP +147.		
10021	10021,10056,10111,10130,10086	P. Def. +3.6%, Max HP +200.		
10022	10022,10057,10112,10131,10087	P. Def. +4.4%, Max HP +250.		
10023	10023,10058,10113,10132,10088	P. Def. +5.2%, Max HP +294.		
10024	10024,10059,10114,10133,10089	P. Def. +6.2%, Max HP +347.		
26	26,34,10115,10158,39	Max HP +112, Breath +70, STR -3, CON +3.		
10025	10025,10060,46,63,10085	Max HP +160, Breath +100, STR -3, CON +3.		
10026	10026,10061,10116,10159,10086	Max HP +218, Breath +136, STR -3, CON +3.		
10027	10027,10062,10117,10160,10087	Max HP +272, Breath +170, STR -3, CON +3.		
10028	10028,10063,10118,10161,10088	Max HP +320, Breath +200, STR -3, CON +3.		
10029	10029,10064,10119,10162,10089	Max HP +378, Breath +236, STR -3, CON +3.		
27	27,30,1148,50,36	P. Atk. +2.8%, Max MP +84, Weight limit +2016.		
10030	10030,10045,10780,10134,10070	P. Atk. +4%, Max MP +120, Weight limit +2880.		
10031	10031,10046,10781,10135,10071	P. Atk. +5.4%, Max MP +163, Weight limit +3916.		
10032	10032,10047,10782,10136,10072	P. Atk. +6.8%, Max MP +204, Weight limit +4895.		
10033	10033,10048,10783,10137,10073	P. Atk. +8%, Max MP +240, Weight limit +5759.		
10034	10034,10049,10784,10138,10074	P. Atk. +9.4%, Max MP +283, Weight limit +6796.		
58	58,59,47,61,10154	Poison resistance +20%.	628	Max HP +126.
10139	10139,10143,10120,10150,62	Poison resistance +27%.	628	Max HP +126.
10140	10140,10144,10121,10151,10155	Poison resistance +34%.	628	Max HP +126.
10141	10141,10145,10122,10152,10156	Poison resistance +40%.	628	Max HP +126.
10142	10142,10146,10123,10153,10157	Poison resistance +47%.	628	Max HP +126.
60	60,517,2462,64	Weight limit +5795.	107	M. Def. +5.3%.
10147	10147,10581,10985,10163	Weight limit +7244.	107	M. Def. +5.3%.
10148	10148,10582,10986,10164	Weight limit +8522.	107	M. Def. +5.3%.
10149	10149,10583,10987,10165	Weight limit +10056.	107	M. Def. +5.3%.
347	347,376,47,63,553	Speed +4, HP regeneration +2.6%, STR +3, CON -1, DEX -2.		
10166	10166,10237,10120,10159,10652	Speed +5, HP regeneration +3.6%, STR +3, CON -1, DEX -2.		
10167	10167,10238,10121,10160,10653	Speed +6, HP regeneration +4.5%, STR +3, CON -1, DEX -2.		
10168	10168,10239,10122,10161,10654	Speed +7, HP regeneration +5.3%, STR +3, CON -1, DEX -2.		
10169	10169,10240,10123,10162,10655	Speed +8, HP regeneration +6.2%, STR +3, CON -1, DEX -2.		
348	348,377,47,63,553	P. Atk. +2%, Accuracy +2, Stun resistance +25%, STR +2, CON -2.		
10170	10170,10241,10120,10159,10652	P. Atk. +2.7%, Accuracy +2, Stun resistance +34%, STR +2, CON -2.		
10171	10171,10242,10121,10160,10653	P. Atk. +3.4%, Accuracy +3, Stun resistance +42%, STR +2, CON -2.		
10172	10172,10243,10122,10161,10654	P. Atk. +4%, Accuracy +3, Stun resistance +50%, STR +2, CON -2.		
10173	10173,10244,10123,10162,10655	P. Atk. +4.7%, Accuracy +4, Stun resistance +59%, STR +2, CON -2.		
349	349,378,47,63,553	Atk. Spd. +4%, Weight limit +2880, Poison resistance +40%, STR +2, CON -2.		
10174	10174,10245,10120,10159,10652	Atk. Spd. +5.4%, Weight limit +3916, Poison resistance +54%, STR +2, CON -2.		
10175	10175,10246,10121,10160,10653	Atk. Spd. +6.8%, Weight limit +4895, Poison resistance +68%, STR +2, CON -2.		
10176	10176,10247,10122,10161,10654	Atk. Spd. +8%, Weight limit +5759, Poison resistance +80%, STR +2, CON -2.		
10177	10177,10248,10123,10162,10655	Atk. Spd. +9.4%, Weight limit +6796, Poison resistance +94%, STR +2, CON -2.		
350	350,379,47,10965,10908	P. Def. +4%, Max HP +222.		
10178	10178,10249,10120,2456,2432	P. Def. +5.4%, Max HP +303.		
10179	10179,10250,10121,10966,10909	P. Def. +6.8%, Max HP +378.		
10180	10180,10251,10122,10967,10910	P. Def. +8%, Max HP +445.		
10181	10181,10252,10123,10968,10911	P. Def. +9.4%, Max HP +525.		
351	351,380,2412,10984,2428	Max CP +116, CP regeneration +20%.		
10182	10182,10253,10853,2462,10895	Max CP +158, CP regeneration +27.2%.		
10183	10183,10254,10854,10985,10896	Max CP +197, CP regeneration +34%.		
10184	10184,10255,10855,10986,10897	Max CP +232, CP regeneration +40%.		
10185	10185,10256,10856,10987,10898	Max CP +274, CP regeneration +47.2%.		
352	352,2378,2411,2449,2425	P. Def. +5%, Max HP +153.	2493	Max HP +20.
10186	10186,10787,10849,10944,10883	P. Def. +6.8%, Max HP +208.	2493	Max HP +20.
10187	10187,10788,10850,10945,10884	P. Def. +8.5%, Max HP +260.	2493	Max HP +20.
10188	10188,10789,10851,10946,10885	P. Def. +10%, Max HP +306.	2493	Max HP +20.
10189	10189,10790,10852,10947,10886	P. Def. +11.8%, Max HP +361.	2493	Max HP +20.
353	353,380,2412,10984,2428	HP recovery +2%, Paralysis resistance +25%, STR -2, CON +2.		
10190	10190,10253,10853,2462,10895	HP recovery +2.7%, Paralysis resistance +34%, STR -2, CON +2.		
10191	10191,10254,10854,10985,10896	HP recovery +3.4%, Paralysis resistance +42%, STR -2, CON +2.		
10192	10192,10255,10855,10986,10897	HP recovery +4%, Paralysis resistance +50%, STR -2, CON +2.		
10193	10193,10256,10856,10987,10898	HP recovery +4.7%, Paralysis resistance +59%, STR -2, CON +2.		
354	354,381,2413,2453,2429	Dagger resistance -5.2%.	2495	Max HP +198.
10194	10194,10257,10857,10956,10899	Dagger resistance -6.6%.	2495	Max HP +198.
10195	10195,10258,10858,10957,10900	Dagger resistance -7.7%.	2495	Max HP +198.
10196	10196,10259,10859,10958,10901	Dagger resistance -9.1%.	2495	Max HP +198.
355	355,382,497,2456,2432	P. Def. +3.6%, Max HP +200.		
10197	10197,10260,10549,10966,10909	P. Def. +4.4%, Max HP +250.		
10198	10198,10261,10550,10967,10910	P. Def. +5.2%, Max HP +294.		
10199	10199,10262,10551,10968,10911	P. Def. +6.2%, Max HP +347.		
356	356,2414,2462,2438	Max HP +270.	2497	rShld +5.2%.
10200	10200,10860,10985,10927	Max HP +337.	2497	rShld +5.2%.
10201	10201,10861,10986,10928	Max HP +397.	2497	rShld +5.2%.
10202	10202,10862,10987,10929	Max HP +469.	2497	rShld +5.2%.
357	357,383,503,5710,5726	P. Def. +5.2%, Max HP +294.		
10203	10203,10263,10556,11020,11044	P. Def. +6.2%, Max HP +346.		
10204	10204,10264,10557,11021,11045	P. Def. +7.3%, Max HP +408.		
358	358,2380,2416,5718,5734	Speed +7, HP regeneration +5.3%, STR +3, CON -1, DEX -2.		
10205	10205,10793,10865,11032,11056	Speed +8, HP regeneration +6.2%, STR +3, CON -1, DEX -2.		
10206	10206,10794,10866,11033,11057	Speed +10, HP regeneration +7.3%, STR +3, CON -1, DEX -2.		
359	359,506,11002,557	Max HP +272, Breath +170, STR -3, CON +3.		
10207	10207,10558,11003,10656	Max HP +320, Breath +200, STR -3, CON +3.		
10208	10208,10559,2476,10657	Max HP +378, Breath +236, STR -3, CON +3.		
360	360,385,507,610,558	Speed +6, HP regeneration +4.5%, STR +3, CON -1, DEX -2.		
10209	10209,10265,10560,10733,10658	Speed +7, HP regeneration +5.3%, STR +3, CON -1, DEX -2.		
10210	10210,10266,10561,10734,10659	Speed +8, HP regeneration +6.2%, STR +3, CON -1, DEX -2.		
361	361,386,508,610,559	P. Atk. +3.4%, Accuracy +3, Stun resistance +42%, STR +2, CON -2.		
10211	10211,10267,10562,10733,10660	P. Atk. +4%, Accuracy +3, Stun resistance +50%, STR +2, CON -2.		
