id	level	name	desc	kind	iconFrom
9500	1	Shirt Set	Evasion +1.	set	21
9500	2	Shirt Set	Evasion +2.	set	21
9500	3	Shirt Set	Evasion +3.	set	21
9500	4	Shirt Set	Evasion +3.	set	21
9500	5	Shirt Set	Evasion +4.	set	21
9500	6	Shirt Set	Evasion +5.	set	21
9501	1	Leather Set	P. Def. +1.8%, Casting Spd. +5.2%.	set	22
9501	2	Leather Set	P. Def. +2.6%, Casting Spd. +7.5%.	set	22
9501	3	Leather Set	P. Def. +3.6%, Casting Spd. +10.2%.	set	22
9501	4	Leather Set	P. Def. +4.4%, Casting Spd. +12.7%.	set	22
9501	5	Leather Set	P. Def. +5.2%, Casting Spd. +15%.	set	22
9501	6	Leather Set	P. Def. +6.2%, Casting Spd. +17.7%.	set	22
9502	1	Wooden Set	P. Def. +2%, Max HP +41.	set	23
9502	2	Wooden Set	P. Def. +2.9%, Max HP +59.	set	23
9502	3	Wooden Set	P. Def. +3.9%, Max HP +80.	set	23
9502	4	Wooden Set	P. Def. +4.9%, Max HP +100.	set	23
9502	5	Wooden Set	P. Def. +5.7%, Max HP +117.	set	23
9502	6	Wooden Set	P. Def. +6.7%, Max HP +138.	set	23
9503	1	Bone Set	Atk. Spd. +1.4%, P. Atk. +1.4%, STR +1, CON -1.	set	24
9503	2	Bone Set	Atk. Spd. +2%, P. Atk. +2%, STR +1, CON -1.	set	24
9503	3	Bone Set	Atk. Spd. +2.7%, P. Atk. +2.7%, STR +1, CON -1.	set	24
9503	4	Bone Set	Atk. Spd. +3.4%, P. Atk. +3.4%, STR +1, CON -1.	set	24
9503	5	Bone Set	Atk. Spd. +4%, P. Atk. +4%, STR +1, CON -1.	set	24
9503	6	Bone Set	Atk. Spd. +4.7%, P. Atk. +4.7%, STR +1, CON -1.	set	24
9504	1	Piece Bone Set	P. Def. +1.8%, Max HP +103.	set	25
9504	2	Piece Bone Set	P. Def. +2.6%, Max HP +147.	set	25
9504	3	Piece Bone Set	P. Def. +3.6%, Max HP +200.	set	25
9504	4	Piece Bone Set	P. Def. +4.4%, Max HP +250.	set	25
9504	5	Piece Bone Set	P. Def. +5.2%, Max HP +294.	set	25
9504	6	Piece Bone Set	P. Def. +6.2%, Max HP +347.	set	25
9505	1	Bronze Set	Max HP +112, Breath +70, STR -3, CON +3.	set	26
9505	2	Bronze Set	Max HP +160, Breath +100, STR -3, CON +3.	set	26
9505	3	Bronze Set	Max HP +218, Breath +136, STR -3, CON +3.	set	26
9505	4	Bronze Set	Max HP +272, Breath +170, STR -3, CON +3.	set	26
9505	5	Bronze Set	Max HP +320, Breath +200, STR -3, CON +3.	set	26
9505	6	Bronze Set	Max HP +378, Breath +236, STR -3, CON +3.	set	26
9506	1	Hard Leather Set	P. Atk. +2.8%, Max MP +84, Weight limit +2016.	set	27
9506	2	Hard Leather Set	P. Atk. +4%, Max MP +120, Weight limit +2880.	set	27
9506	3	Hard Leather Set	P. Atk. +5.4%, Max MP +163, Weight limit +3916.	set	27
9506	4	Hard Leather Set	P. Atk. +6.8%, Max MP +204, Weight limit +4895.	set	27
9506	5	Hard Leather Set	P. Atk. +8%, Max MP +240, Weight limit +5759.	set	27
9506	6	Hard Leather Set	P. Atk. +9.4%, Max MP +283, Weight limit +6796.	set	27
9507	1	Mithril Heavy Set	Poison resistance +14%.	set	58
9507	2	Mithril Heavy Set	Poison resistance +20%.	set	58
9507	3	Mithril Heavy Set	Poison resistance +27%.	set	58
9507	4	Mithril Heavy Set	Poison resistance +34%.	set	58
9507	5	Mithril Heavy Set	Poison resistance +40%.	set	58
