"id","reason","name"
"28","unused-armor","Pants"
"29","unused-armor","Leather Pants"
"30","unused-armor","Hard Leather Pants"
"31","unused-armor","Bone Gaiters"
"32","unused-armor","Piece Bone Gaiters"
"33","unused-armor","Hard Leather Gaiters"
"34","unused-armor","Bronze Gaiters"
"35","unused-armor","Cloth Shoes"
"36","unused-armor","Leather Sandals"
"37","unused-armor","Leather Shoes"
"38","unused-armor","Low Boots"
"39","unused-armor","Boots"
"40","unused-armor","Leather Boots"
"48","unused-armor","Short Gloves"
"49","unused-armor","Gloves"
"50","unused-armor","Leather Gloves"
"51","unused-armor","Bracer"
"58","unused-armor","Mithril Breastplate"
"59","unused-armor","Mithril Gaiters"
"61","unused-armor","Mithril Gloves"
"62","unused-armor","Mithril Boots"
"63","unused-armor","Gauntlets"
"64","unused-armor","Composite Boots"
"350","unused-armor","Dwarven Scale Mail"
"359","unused-armor","Shining Dragon Armor"
"361","unused-armor","Breastplate of Valor"
"362","unused-armor","Glorious Armor"
"363","unused-armor","Red Flame Armor"
"364","unused-armor","Elven Crystal Breastplate"
"366","unused-armor","Implosion Armor"
"367","unused-armor","Dark Dragon Armor"
"368","unused-armor","Elven Vagian Armor"
"369","unused-armor","Dark Vagian Armor"
"370","unused-armor","Complete Set of Plate Armor"
"371","unused-armor","Hell Plate"
"372","unused-armor","Art of Plate"
"373","unused-armor","Masterpiece Armor"
"375","unused-armor","Dragon Scale Mail"
"376","unused-armor","Iron Plate Gaiters"
"377","unused-armor","Scale Gaiters"
"378","unused-armor","Compound Scale Gaiters"
"379","unused-armor","Dwarven Scale Gaiters"
"380","unused-armor","Plate Gaiters"
"381","unused-armor","Chain Gaiters"
"382","unused-armor","Dwarven Chain Gaiters"
"383","unused-armor","Zubei's Gaiters"
"384","unused-armor","Wolf Gaiters"
"385","unused-armor","Gaiters of Victory"
"386","unused-armor","Gaiters of Valor"
"387","unused-armor","Elven Crystal Gaiters"
"388","unused-armor","Dark Crystal Gaiters"
"389","unused-armor","Dragon Scale Gaiters"
"396","unused-armor","Salamander Skin Mail"
"402","unused-armor","Chain Mail of Silence"
"403","unused-armor","Gust Chain Mail"
"404","unused-armor","Prairie Leather Armor"
"405","unused-armor","Leather Armor of The Underworld"
"406","unused-armor","Leather Suit of Concentration"
"408","unused-armor","Guardian's Leather Armor"
"409","unused-armor","Marksman's Leather Armor"
"410","unused-armor","Unicorn Leather Armor"
"411","unused-armor","Dragon Leather Armor"
"412","unused-armor","Cotton Pants"
"413","unused-armor","Puma Skin Gaiters"
"414","unused-armor","Lion Skin Gaiters"
"415","unused-armor","Mithril Banded Gaiters"
"416","unused-armor","Reinforced Leather Gaiters"
"417","unused-armor","Manticore Skin Gaiters"
"418","unused-armor","Plated Leather Gaiters"
"419","unused-armor","Rind Leather Gaiters"
"420","unused-armor","Theca Leather Gaiters"
"421","unused-armor","Prairie Leather Gaiters"
"422","unused-armor","Gaiters of The Underworld"
"423","unused-armor","Guardian's Leather Gaiters"
"424","unused-armor","Marksman's Leather Gaiters"
"425","unused-armor","Apprentice's Tunic"
"427","unused-armor","Cotton Robe"
"430","unused-armor","Robe of Devotion"
"431","unused-armor","Robe of Magic"
"433","unused-armor","Elven Tunic"
"440","unused-armor","Robe of Seal"
"443","unused-armor","Tunic of Mana"
"444","unused-armor","Sage's Robe"
"445","unused-armor","Paradia Tunic"
"446","unused-armor","Inferno Tunic"
"447","unused-armor","Tunic of Solar Eclipse"
"448","unused-armor","Robe of Black Ore"
"449","unused-armor","Tunic of Summoning"
"450","unused-armor","Otherworldly Robe"
"451","unused-armor","Elemental Tunic"
"452","unused-armor","Tunic of Phantom"
"453","unused-armor","Tunic of Grace"
"454","unused-armor","Robe of Holy Spirit"
"455","unused-armor","Phoenix Tunic"
"456","unused-armor","Cerberus Tunic"
"457","unused-armor","Tunic of Aid"
"458","unused-armor","Robe of Blessing"
"459","unused-armor","Dasparion's Robe"
"460","unused-armor","The Robe"
"461","unused-armor","Apprentice's Stockings"
"462","unused-armor","Stockings"
"463","unused-armor","Feriotic Stockings"
"464","unused-armor","Leather Stockings"
"465","unused-armor","Cursed Stockings"
"466","unused-armor","Elven Stockings"
"467","unused-armor","Dark Stockings"
"468","unused-armor","Mystic's Stockings"
"469","unused-armor","Stockings of Knowledge"
"470","unused-armor","Mithril Stockings"
"471","unused-armor","Karmian Stockings"
"472","unused-armor","Demon's Stockings"
"473","unused-armor","Divine Stockings"
"474","unused-armor","Stockings of Mana"
"475","unused-armor","Paradia Stockings"
"476","unused-armor","Inferno Stockings"
"477","unused-armor","Stockings of Solar Eclipse"
"478","unused-armor","Stockings of Summoning"
"479","unused-armor","Elemental Stockings"
"480","unused-armor","Stockings of Phantom"
"481","unused-armor","Stockings of Grace"
"482","unused-armor","Phoenix Stockings"
