"chest","set","note"
"425","Apprentice's Set",""
"427","Cotton Robe Set",""
"430","Robe of Devotion Set",""
"431","Robe of Magic Set",""
"433","Elven Set",""
"440","Robe of Seal Set",""
"2396","Elven Mithril Set",""
"58","Mithril Heavy Set","the only one retail shipped a client set tooltip for"
"456","Cerberus Set",""
"451","Elemental Set",""
"446","Inferno Set",""
"450","Otherworldly Set",""
"445","Paradia Set",""
"455","Phoenix Set",""
"448","Robe of Black Ore Set",""
"458","Robe of Blessing Set",""
"454","Robe of Holy Spirit Set",""
"444","Sage's Robe Set",""
"460","The Set",""
"457","Tunic of Aid Set",""
"453","Tunic of Grace Set",""
"443","Tunic of Mana Set",""
"452","Tunic of Phantom Set",""
"447","Tunic of Solar Eclipse Set",""
"449","Tunic of Summoning Set",""
"402","Chain Mail of Silence Set",""
"411","Dragon Leather Set",""
"408","Guardian's Leather Set",""
"403","Gust Chain Set",""
"405","Leather Armor of The Underworld Set",""
"406","Leather Suit of Concentration Set",""
"409","Marksman's Leather Set",""
"404","Prairie Leather Set",""
"396","Salamander Skin Set",""
"410","Unicorn Leather Set",""
"372","Art of Set",""
"370","Complete Set of Plate Set",""
"367","Dark Dragon Set",""
"369","Dark Vagian Set",""
"368","Elven Vagian Set",""
"362","Glorious Set",""
"371","Hell Set",""
"366","Implosion Set",""
"373","Masterpiece Set",""
"363","Red Flame Set",""
"359","Shining Dragon Set",""
"459","Dasparion's Set",""
"361","Breastplate of Valor Set",""
"364","Elven Crystal Set",""
"375","Dragon Scale Set",""
"350","Dwarven Scale Set",""
