class	offset	property	type
ParticleEmitter	0x034	Acceleration	Struct<Vector>
ParticleEmitter	0x040	IndependentSprayAccel	bool bit 0
ParticleEmitter	0x040	UseCollision	bool bit 1
ParticleEmitter	0x044	ExtentMultiplier	Struct<Vector>
ParticleEmitter	0x050	DampingFactorRange	Struct<RangeVector>
ParticleEmitter	0x068	UseCollisionPlanes	bool bit 0
ParticleEmitter	0x06C	CollisionPlanes	Array<CollisionPlanes>
ParticleEmitter	0x078	UseMaxCollisions	bool bit 0
ParticleEmitter	0x07C	MaxCollisions	Struct<Range>
ParticleEmitter	0x084	SpawnFromOtherEmitter	Int
ParticleEmitter	0x088	SpawnAmount	Int
ParticleEmitter	0x08C	SpawnedVelocityScaleRange	Struct<RangeVector>
ParticleEmitter	0x0A4	UseSpawnedVelocityScale	bool bit 0
ParticleEmitter	0x0A4	UseColorScale	bool bit 1
ParticleEmitter	0x0A8	ColorScale	Array<ColorScale>
ParticleEmitter	0x0B4	ColorScaleRepeats	Float
ParticleEmitter	0x0B8	ColorMultiplierRange	Struct<RangeVector>
ParticleEmitter	0x0D0	Opacity	Float
ParticleEmitter	0x0D4	OpacityRatio	Float
ParticleEmitter	0x0D8	FadeOutFactor	Struct<Plane>
ParticleEmitter	0x0E8	FadeOutStartTime	Float
ParticleEmitter	0x0EC	FadeOut	bool bit 0
ParticleEmitter	0x0F0	FadeInFactor	Struct<Plane>
ParticleEmitter	0x100	FadeInEndTime	Float
ParticleEmitter	0x104	FadeIn	bool bit 0
ParticleEmitter	0x104	UseActorForces	bool bit 1
ParticleEmitter	0x108	CoordinateSystem	Byte<EParticleCoordinateSystem>
ParticleEmitter	0x10C	MaxParticles	Int
ParticleEmitter	0x110	ResetAfterChange	bool bit 0
ParticleEmitter	0x114	EffectAxis	Byte<EParticleEffectAxis>
ParticleEmitter	0x118	LevelOfWeather	Int
ParticleEmitter	0x11C	CheckLevelOfWeather	Int
ParticleEmitter	0x120	ParticleChoice	Byte<EParticleParticleChoice>
ParticleEmitter	0x124	WeatherEffect	bool bit 0
ParticleEmitter	0x128	WeatherRangeTime	Array<WeatherRangeTime>
ParticleEmitter	0x134	WeatherSoundCheck	bool bit 0
ParticleEmitter	0x134	ForcedLifeTime	bool bit 1
ParticleEmitter	0x134	ForcedFade	bool bit 2
ParticleEmitter	0x134	ForcedMaxParticles	bool bit 3
ParticleEmitter	0x134	RespawnDeadParticles	bool bit 4
ParticleEmitter	0x134	AutoDestroy	bool bit 5
ParticleEmitter	0x134	AutoReset	bool bit 6
ParticleEmitter	0x134	Disabled	bool bit 7
ParticleEmitter	0x134	DisableFogging	bool bit 8
ParticleEmitter	0x138	AutoResetTimeRange	Struct<Range>
ParticleEmitter	0x140	Name	Str
ParticleEmitter	0x14C	StartLocationOffset	Struct<Vector>
ParticleEmitter	0x158	StartLocationRange	Struct<RangeVector>
ParticleEmitter	0x170	AddLocationFromOtherEmitter	Int
ParticleEmitter	0x174	StartLocationShape	Byte<EParticleStartLocationShape>
ParticleEmitter	0x178	SphereRadiusRange	Struct<Range>
ParticleEmitter	0x180	StartLocationPolarRange	Struct<RangeVector>
ParticleEmitter	0x198	StartMassRange	Struct<Range>
ParticleEmitter	0x1A0	MeshSpawningStaticMesh	Object<StaticMesh>
ParticleEmitter	0x1A4	MeshSpawning	Byte<EParticleMeshSpawning>
ParticleEmitter	0x1A8	VelocityFromMesh	bool bit 0
ParticleEmitter	0x1AC	VelocityScaleRange	Struct<RangeVector>
ParticleEmitter	0x1C4	MeshScaleRange	Struct<RangeVector>
ParticleEmitter	0x1DC	UniformMeshScale	bool bit 0
ParticleEmitter	0x1DC	UniformVelocityScale	bool bit 1
ParticleEmitter	0x1DC	UseColorFromMesh	bool bit 2
ParticleEmitter	0x1DC	SpawnOnlyInDirectionOfNormal	bool bit 3
ParticleEmitter	0x1E0	MeshNormal	Struct<Vector>
ParticleEmitter	0x1EC	MeshNormalThresholdRange	Struct<Range>
ParticleEmitter	0x1F4	AlphaRef	Int
ParticleEmitter	0x1F8	AlphaTest	bool bit 0
ParticleEmitter	0x1F8	AcceptsProjectors	bool bit 1
ParticleEmitter	0x1F8	ZTest	bool bit 2
ParticleEmitter	0x1F8	ZWrite	bool bit 3
ParticleEmitter	0x1F8	UseRevolution	bool bit 4
ParticleEmitter	0x1FC	RevolutionCenterOffsetRange	Struct<RangeVector>
ParticleEmitter	0x214	RevolutionsPerSecondRange	Struct<RangeVector>
ParticleEmitter	0x22C	UseRevolutionScale	bool bit 0
ParticleEmitter	0x230	RevolutionScale	Array<RevolutionScale>
ParticleEmitter	0x23C	RevolutionScaleRepeats	Float
ParticleEmitter	0x240	UseRotationFrom	Byte<EParticleRotationSource>
