# Colour and opacity of the enchant glow, per enchant LEVEL.
#
# Written into system\env.int by tools\client\patch_env_enchant.ps1 -Table : the client reads the
# row by the glow code the server sends (model/item/EnchantGlow.java), and every code 0..127 gets
# the row of the level it stands for. See docs/enchant-glow.md.
#
# Opacity multiplies the Opacity of every emitter of the EnchantGlow effect - 1 is the effect as
# baked, 0.5 half as bright ; 0 or less the client turns into 0.001. Num goes to
# AEmitter::SetMaxParticles. R1..B2 tint only the retail aura mesh (hero weapons), not EnchantGlow.
#
# Levels past +43 are drawn as +43 (the code is a byte of at most 127). A level left out takes the
# row of the nearest level below it. Below +4 nothing glows, whatever the row says.
#
# level  R1   G1   B1   R2   G2   B2   Opacity  Num
0       0    10   20   0    0    30   0.01     1
1       0    10   20   0    0    30   0.02     1
2       0    10   20   0    0    30   0.03     1
3       0    10   20   0    0    30   0.04     1
4       30   30   40   20   20   30   0.05     1
5       35   45   60   25   35   50   0.07     1
6       35   65   90   25   55   75   0.09     1
7       40   87   126  30   70   110  0.11     1
8       30   80   135  20   60   120  0.13     1
9       20   70   145  10   50   130  0.15     1
10      10   60   160  0    45   140  0.17     1
11      0    50   180  0    44   155  0.19     1
12      0    40   200  0    43   170  0.21     1
13      0    30   220  0    42   185  0.23     1
14      0    30   240  0    41   200  0.25     1
15      0    30   255  0    40   215  0.27     1
16      160  20   20   130  10   0    0.29     1
17      230  4    230  160  20   20   0.31     1
18      240  4    198  180  0    0    0.33     1
19      210  0    0    188  0    0    0.35     1
20      220  0    0    195  0    0    0.37     1
21      150  10   150  160  10   160  0.40     1
22      160  10   160  150  10   150  0.40     1
23      170  10   170  160  10   160  0.40     1
24      180  10   180  170  10   170  0.40     1
25      190  10   190  180  10   180  1        1
26      200  10   200  190  10   190  0.40     1
27      220  10   220  200  10   200  0.40     1
28      230  10   230  220  10   220  0.40     1
29      240  10   240  230  10   230  0.40     1
30      255  10   255  240  10   240  0.40     1
31      150  150  20   125  125  10   0.40     1
32      160  160  20   130  130  10   0.40     1
33      170  170  10   135  135  0    0.40     1
34      180  180  10   140  140  0    0.40     1
35      190  190  0    160  160  0    0.40     1
36      200  200  0    180  180  0    0.40     1
37      205  205  0    185  185  0    0.40     1
38      210  210  0    188  188  0    0.40     1
39      215  215  0    190  190  0    0.40     1
40      220  220  0    195  195  0    0.40     1
41      20   160  20   10   130  0    0.40     1
42      15   170  15   5    135  0    0.40     1
43      10   180  10   0    140  0    0.40     1
