# weapongrp models, made by unique_weapongrp_models.ps1 from C:\Users\KRIVOSHEEC\Desktop\1\system\weapongrp.dat.models.bak
# 2651 rows -> 537 looks, 428 of them in the cut down table. Backup of the full table : C:\Users\KRIVOSHEEC\Desktop\1\system\weapongrp.dat.models.bak
# rep_id	members	look	kind
1	1,12000,12001,12002,12003,12004	lineageweapons.small_sword_m00_wp|lineageweaponstex.small_sword_t00_wp	weapon
2	2,738,1295,2915,7821,8581,12005,12006,12007,12008,12009,12876,12877,12878,12879,12880,12945,12946,12947,12948,12949,13400,13401,13402,13403,13404,13602,13603,13604,13605,13606	lineageweapons.long_sword_m00_wp|lineageweaponstex.long_sword_t00_wp	weapon
3	3,743,975,1142,12010,12011,12012,12013,12014,12881,12882,12883,12884,12885,12910,12911,12912,12913,12914,12925,12926,12927,12928,12929	lineageweapons.broad_sword_m00_wp|lineageweaponstex.broad_sword_t00_wp	weapon
4	4,748,2370,2501,7817,8577,12015,12016,12017,12018,12019,13051,13052,13053,13054,13055,13081,13082,13083,13084,13085,13582,13583,13584,13585,13586	lineageweapons.club_m00_wp|lineageweaponstex.club_t00_wp	weapon
5	5,12020,12021,12022,12023,12024	lineageweapons.mace_m00_wp|lineageweaponstex.mace_t00_wp	weapon
6	6,747,12025,12026,12027,12028,12029,12891,12892,12893,12894,12895	lineageweapons.apprentices_wand_m00_wp|lineageweaponstex.apprentices_wand_t00_wp	weapon
7	7,1300,12030,12031,12032,12033,12034,12970,12971,12972,12973,12974	lineageweapons.apprentices_rod_m00_wp|lineageweaponstex.apprentices_rod_t00_wp	weapon
8	8,12035,12036,12037,12038,12039	lineageweapons.willow_staff_m00_wp|lineageweaponstex.willow_staff_t00_wp	weapon
9	9,744,754,12040,12041,12042,12043,12044,12886,12887,12888,12889,12890,12900,12901,12902,12903,12904	lineageweapons.cedar_staff_m00_wp|lineageweaponstex.cedar_staff_t00_wp	weapon
10	10,12045,12046,12047,12048,12049	lineageweapons.dagger_m00_wp|lineageweaponstex.dagger_t00_wp	weapon
11	11,12050,12051,12052,12053,12054	lineageweapons.bone_dagger_m00_wp|lineageweaponstex.bone_dagger_t00_wp	weapon
12	12,989,1182,1305,1306,4665,12055,12056,12057,12058,12059,12920,12921,12922,12923,12924,12935,12936,12937,12938,12939,12995,12996,12997,12998,12999,13000,13001,13002,13003,13004,13459,13460,13461,13462,13463	lineageweapons.knife_m00_wp|lineageweaponstex.knife_t00_wp	weapon
13	13,3028,12060,12061,12062,12063,12064,13415,13416,13417,13418,13419	lineageweapons.short_bow_m00_wp|lineageweaponstex.short_bow_t00_wp	weapon
14	14,1181,1213,1307,12065,12066,12067,12068,12069,12930,12931,12932,12933,12934,12940,12941,12942,12943,12944,13005,13006,13007,13008,13009	lineageweapons.bow_m00_wp|lineageweaponstex.bow_t00_wp	weapon
15	15,3026,12070,12071,12072,12073,12074,13405,13406,13407,13408,13409	lineageweapons.short_spear_m00_wp|lineageweaponstex.short_spear_t00_wp	weapon
16	16,8972,12075,12076,12077,12078,12079	lineageweapons.long_spear_m00_wp|lineageweaponstex.long_spear_t00_wp	weapon
