"drop","dropName","keep","keepName","type","grade","npcHands","questUse","mesh"
"237","Dragon's Tooth","6367","Angel Slayer","DAGGER","S","0","","LineageWeapons.angel_slayer_m00_wp"
"1300","Apprentice's Rod","7","Apprentice's Rod","BLUNT","NG","0","","LineageWeapons.apprentices_rod_m00_wp"
"342","Enchanted Flute","341","Forgotten Tome","ETC","A","0","","LineageWeapons.apprentices_spellbook_m00_wp"
"343","Headless Arrow","341","Forgotten Tome","ETC","A","0","Q343_UnderTheShadowOfTheIvoryTower","LineageWeapons.apprentices_spellbook_m00_wp"
"344","Proof of Overlord","341","Forgotten Tome","ETC","A","0","Q344_1000YearsTheEndOfLamentation","LineageWeapons.apprentices_spellbook_m00_wp"
"345","Deathbringer Sword","341","Forgotten Tome","ETC","A","0","Q345_MethodToRaiseTheDead Q426_QuestForFishingShot","LineageWeapons.apprentices_spellbook_m00_wp"
"336","Scroll of Mana","335","Soul Crystal","ETC","B","0","Q336_CoinsOfMagic","LineageWeapons.apprentices_spellbook_m00_wp"
"337","Scroll of Massacre","335","Soul Crystal","ETC","B","0","Q337_AudienceWithTheLandDragon","LineageWeapons.apprentices_spellbook_m00_wp"
"338","Wyvern's Skull","335","Soul Crystal","ETC","B","0","Q338_AlligatorHunter","LineageWeapons.apprentices_spellbook_m00_wp"
"339","Blood Crystal","335","Soul Crystal","ETC","B","0","","LineageWeapons.apprentices_spellbook_m00_wp"
"340","Unicorn's Horn","335","Soul Crystal","ETC","B","0","Q340_SubjugationOfLizardmen","LineageWeapons.apprentices_spellbook_m00_wp"
"327","Hex Doll","324","Tears of Fairy","ETC","C","0","Q327_RecoverTheFarmland","LineageWeapons.apprentices_spellbook_m00_wp"
"328","Candle of Wisdom","324","Tears of Fairy","ETC","C","0","Q328_SenseForBusiness","LineageWeapons.apprentices_spellbook_m00_wp"
"329","Blessed Branch","324","Tears of Fairy","ETC","C","0","Q329_CuriosityOfADwarf Q620_FourGoblets","LineageWeapons.apprentices_spellbook_m00_wp"
"330","Phoenix Feather","324","Tears of Fairy","ETC","C","0","Q330_AdeptOfTaste Q343_UnderTheShadowOfTheIvoryTower","LineageWeapons.apprentices_spellbook_m00_wp"
"331","Cerberus Eye","324","Tears of Fairy","ETC","C","0","Q331_ArrowOfVengeance","LineageWeapons.apprentices_spellbook_m00_wp"
"332","Scroll of Destruction","324","Tears of Fairy","ETC","C","0","","LineageWeapons.apprentices_spellbook_m00_wp"
"333","Claws of Black Dragon","324","Tears of Fairy","ETC","C","0","Q333_HuntOfTheBlackLion","LineageWeapons.apprentices_spellbook_m00_wp"
"334","Three Eyed Crow's Feather","324","Tears of Fairy","ETC","C","0","Q334_TheWishingPotion","LineageWeapons.apprentices_spellbook_m00_wp"
"320","Blue Crystal Skull","319","Eye of Infinity","ETC","D","0","Q320_BonesTellTheFuture","LineageWeapons.apprentices_spellbook_m00_wp"
"322","Vajra Wands","319","Eye of Infinity","ETC","D","0","Q620_FourGoblets","LineageWeapons.apprentices_spellbook_m00_wp"
"323","Ancient Reagent","319","Eye of Infinity","ETC","D","0","Q620_FourGoblets","LineageWeapons.apprentices_spellbook_m00_wp"
"310","Relic of The Saints","99","Apprentice's Spellbook","ETC","NG","0","Q343_UnderTheShadowOfTheIvoryTower Q426_QuestForFishingShot","LineageWeapons.apprentices_spellbook_m00_wp"
"208","Staff of Seal","207","Staff of Phantom","BIGBLUNT","B","0","","LineageWeapons.apprentices_staff_m00_wp"
"209","Divine Staff","207","Staff of Phantom","BIGBLUNT","B","0","","LineageWeapons.apprentices_staff_m00_wp"
"211","Staff of Nobility","207","Staff of Phantom","BIGBLUNT","B","0","Q211_TrialOfTheChallenger","LineageWeapons.apprentices_staff_m00_wp"
"749","0","178","Bone Staff","BIGBLUNT","D","0","","LineageWeapons.apprentices_staff_m00_wp"
"177","Mage Staff","176","Journeyman's Staff","BIGBLUNT","NG","0","htm:30232-20.htm","LineageWeapons.apprentices_staff_m00_wp"
"1304","Conjuror's Staff","176","Journeyman's Staff","BIGBLUNT","NG","0","","LineageWeapons.apprentices_staff_m00_wp"
"2373","Eldritch Staff","176","Journeyman's Staff","BIGBLUNT","NG","0","","LineageWeapons.apprentices_staff_m00_wp"
"6355","Mage Staff - for Beginners","176","Journeyman's Staff","BIGBLUNT","NG","0","","LineageWeapons.apprentices_staff_m00_wp"
"7816","Apprentice Adventurer's Staff","176","Journeyman's Staff","BIGBLUNT","NG","0","","LineageWeapons.apprentices_staff_m00_wp"
"8576","Apprentice's Staff (Event)","176","Journeyman's Staff","BIGBLUNT","NG","0","","LineageWeapons.apprentices_staff_m00_wp"
"747","Wand of Adept","6","Apprentice's Wand","BLUNT","NG","0","Q104_SpiritOfMirrors","LineageWeapons.apprentices_wand_m00_wp"
"7834","Art of Battle Axe","175","Art of Battle Axe","BLUNT","B","1","htm:30834-09.htm","LineageWeapons.art_of_battle_axe_m00_wp"
"7828","Traveler's Jamadhr","258","Bagh-Nakh","DUALFIST","D","0","","LineageWeapons.baghnakh_m00_wp"
"8588","Single-Edged Jamadhr (Event)","258","Bagh-Nakh","DUALFIST","D","0","","LineageWeapons.baghnakh_m00_wp"
