"drop","dropName","keep","keepName","type","grade","npcHands","questUse","mesh"
"99","Apprentice's Spellbook","319","Eye of Infinity","ETC","NG>D","20","","lineageweaponstex.apprentices_spellbook_t00_wp"
"176","Journeyman's Staff","178","Bone Staff","BIGBLUNT","NG>D","0","","lineageweaponstex.apprentices_staff_t00_wp"
"207","Staff of Phantom","178","Bone Staff","BIGBLUNT","B>D","0","","lineageweaponstex.apprentices_staff_t00_wp"
"4220","Dream Knife","221","Assassin Knife","DAGGER","NG>D","0","","lineageweaponstex.assassin_knife_t00_wp"
"138","Sword of Desert","69","Bastard Sword","SWORD","B>D","0","","lineageweaponstex.bastard_sword_t00_wp"
"1297","Bastard Sword","69","Bastard Sword","SWORD","NG>D","0","","lineageweaponstex.bastard_sword_t00_wp"
"1302","Bec de Corbin","94","Bec de Corbin","POLE","NG>C","0","","lineageweaponstex.bech_de_corbin_t00_wp"
"1301","Big Hammer","89","Big Hammer","BLUNT","NG>C","0","","lineageweaponstex.big_hammer_t00_wp"
"1298","Caliburs","75","Caliburs","SWORD","NG>C","0","","lineageweaponstex.caliburs_t00_wp"
"264","Pata","263","Chakram","DUALFIST","B>C","0","","lineageweaponstex.chakram_t00_wp|lineageweaponstex.chakram_t00_wp"
"139","Dusk Sword","145","Sword of Whispering Death","SWORD","B>C","1","","lineageweaponstex.deathbreath_sword_t00_wp"
"216","Dirk","222","Poniard Dagger","DAGGER","NG>D","9","","lineageweaponstex.dirk_t00_wp"
"68","Falchion","146","Ghoulbane","SWORD","NG>B","18","","lineageweaponstex.falchion_t00_wp"
"137","Mist Sword","84","Homunkulus's Sword","SWORD","B>C","2","","lineageweaponstex.homunkuluss_sword_t00_wp"
"4219","Dream Sword","128","Knight's Sword","SWORD","NG>D","0","","lineageweaponstex.knights_sword_t00_wp"
"1303","Lance","97","Lance","POLE","NG>B","0","","lineageweaponstex.lancia_t00_wp"
"147","Tear of Darkness","73","Shamshir","SWORD","A>C","5","","lineageweaponstex.shamshir_t00_wp"
"140","Eminence Sword","76","Sword of Delusion","SWORD","B>C","0","","lineageweaponstex.sword_of_delusion_t00_wp"
"141","Hazard Sword","129","Sword of Revolution","SWORD","B>D","0","","lineageweaponstex.sword_of_revolution_t00_wp"
"4221","Ubiquitous Axe","86","Tomahawk","BLUNT","NG>D","0","","lineageweaponstex.tomahawk_t00_wp"
"163","_","162","War Axe","BLUNT","B>C","0","","lineageweaponstex.war_axe_t00_wp"
"170","_","162","War Axe","BLUNT","A>C","0","","lineageweaponstex.war_axe_t00_wp"
