id	donor	grade	gradeIdx	pAtk	mAtk	class	glow	name
1	1	NG	0			SWORD_P	004t	Short Sword
2	2	NG	0			SWORD_P	004t	Long Sword
3	3	NG	0			SWORD_P	004t	Broadsword
4	4	NG	0			BLUNT_P	007t	Club
5	5	NG	0			BLUNT_P	007t	Mace
6	6	NG	0			BLUNT_M	007t	Apprentice's Wand
7	7	NG	0			BLUNT_M	007t	Apprentice's Rod
8	8	NG	0			BIGBLUNT_M	005t	Willow Staff
9	9	NG	0			BIGBLUNT_M	005t	Cedar Staff
10	10	NG	0			DAGGER_P	002t	Dagger
11	11	NG	0			DAGGER_P	002t	Bone Dagger
12	12	NG	0			DAGGER_P	002t	Knife
13	13	NG	0			BOW	008t	Short Bow
14	14	NG	0			BOW	008t	Bow
15	15	NG	0			POLE	002t	Short Spear
16	16	NG	0			POLE	002t	Long Spear
66	66	NG	0			SWORD_P	004t	Gladius
67	67	NG	0			SWORD_P	004t	Orcish Sword
68	68	NG	0			SWORD_P	004t	Falchion
69	69	D	1			SWORD_P	004t	Bastard Sword
12000	69	C	2	156	83	SWORD_P	004t	Bastard Sword
12001	69	B	3	194	99	SWORD_P	004t	Bastard Sword
12002	69	A	4	258	121	SWORD_P	004t	Bastard Sword
12003	69	S	5	297	137	SWORD_P	004t	Bastard Sword
70	70	D	1			BIGSWORD	004t	Claymore
12004	70	C	2	190	83	BIGSWORD	004t	Claymore
12005	70	B	3	236	99	BIGSWORD	004t	Claymore
12006	70	A	4	305	121	BIGSWORD	004t	Claymore
12007	70	S	5	361	137	BIGSWORD	004t	Claymore
71	71	C	2			BIGSWORD	004t	Flamberge
12008	71	B	3	236	99	BIGSWORD	004t	Flamberge
12009	71	A	4	305	121	BIGSWORD	004t	Flamberge
12010	71	S	5	361	137	BIGSWORD	004t	Flamberge
72	72	C	2			SWORD_P	004t	Stormbringer
12011	72	B	3	194	99	SWORD_P	004t	Stormbringer
12012	72	A	4	258	121	SWORD_P	004t	Stormbringer
12013	72	S	5	297	137	SWORD_P	004t	Stormbringer
73	73	C	2			SWORD_P	004t	Shamshir
12014	73	B	3	194	99	SWORD_P	004t	Shamshir
12015	73	A	4	258	121	SWORD_P	004t	Shamshir
12016	73	S	5	297	137	SWORD_P	004t	Shamshir
74	74	C	2			SWORD_P	004t	Katana
12017	74	B	3	194	99	SWORD_P	004t	Katana
12018	74	A	4	258	121	SWORD_P	004t	Katana
12019	74	S	5	297	137	SWORD_P	004t	Katana
75	75	C	2			SWORD_P	004t	Caliburs
12020	75	B	3	194	99	SWORD_P	004t	Caliburs
12021	75	A	4	258	121	SWORD_P	004t	Caliburs
12022	75	S	5	297	137	SWORD_P	004t	Caliburs
76	76	C	2			SWORD_P	004t	Sword of Delusion
12023	76	B	3	194	99	SWORD_P	004t	Sword of Delusion
12024	76	A	4	258	121	SWORD_P	004t	Sword of Delusion
12025	76	S	5	297	137	SWORD_P	004t	Sword of Delusion
77	77	C	2			SWORD_P	004t	Tsurugi
12026	77	B	3	194	99	SWORD_P	004t	Tsurugi
12027	77	A	4	258	121	SWORD_P	004t	Tsurugi
12028	77	S	5	297	137	SWORD_P	004t	Tsurugi
78	78	B	3			BIGSWORD	004t	Great Sword
12029	78	A	4	305	121	BIGSWORD	004t	Great Sword
12030	78	S	5	361	137	BIGSWORD	004t	Great Sword
79	79	B	3			SWORD_P	004t	Sword of Damascus
12031	79	A	4	258	121	SWORD_P	004t	Sword of Damascus
12032	79	S	5	297	137	SWORD_P	004t	Sword of Damascus
80	80	A	4			SWORD_P	004t	Tallum Blade
12033	80	S	5	297	137	SWORD_P	004t	Tallum Blade
81	81	A	4			BIGSWORD	004t	Dragon Slayer
12034	81	S	5	361	137	BIGSWORD	004t	Dragon Slayer
83	83	D	1			SWORD_M	004t	Sword of Magic
12035	83	C	2	125	111	SWORD_M	004t	Sword of Magic
12036	83	B	3	155	132	SWORD_M	004t	Sword of Magic
12037	83	A	4	202	161	SWORD_M	004t	Sword of Magic
12038	83	S	5	238	182	SWORD_M	004t	Sword of Magic
84	84	C	2			SWORD_M	004t	Homunkulus's Sword
12039	84	B	3	155	132	SWORD_M	004t	Homunkulus's Sword
12040	84	A	4	202	161	SWORD_M	004t	Homunkulus's Sword
12041	84	S	5	238	182	SWORD_M	004t	Homunkulus's Sword
85	85	A	4			SWORD_M	004t	Phantom Sword
12042	85	S	5	238	182	SWORD_M	004t	Phantom Sword
86	86	D	1			BLUNT_P	007t	Tomahawk
12043	86	C	2	156	83	BLUNT_P	007t	Tomahawk
12044	86	B	3	194	99	BLUNT_P	007t	Tomahawk
12045	86	A	4	258	121	BLUNT_P	007t	Tomahawk
12046	86	S	5	297	137	BLUNT_P	007t	Tomahawk
87	87	NG	0			BLUNT_P	007t	Iron Hammer
88	88	D	1			BLUNT_P	007t	Morning Star
12047	88	C	2	156	83	BLUNT_P	007t	Morning Star
12048	88	B	3	194	99	BLUNT_P	007t	Morning Star
12049	88	A	4	258	121	BLUNT_P	007t	Morning Star
12050	88	S	5	297	137	BLUNT_P	007t	Morning Star
89	89	C	2			BLUNT_P	007t	Big Hammer
12051	89	B	3	194	99	BLUNT_P	007t	Big Hammer
12052	89	A	4	258	121	BLUNT_P	007t	Big Hammer
12053	89	S	5	297	137	BLUNT_P	007t	Big Hammer
90	90	D	1			BIGBLUNT_M	005t	Goat Head Staff
12054	90	C	2	152	111	BIGBLUNT_M	005t	Goat Head Staff
12055	90	B	3	189	132	BIGBLUNT_M	005t	Goat Head Staff
12056	90	A	4	245	161	BIGBLUNT_M	005t	Goat Head Staff
12057	90	S	5	290	182	BIGBLUNT_M	005t	Goat Head Staff
91	91	B	3			BLUNT_P	007t	Heavy War Axe
12058	91	A	4	258	121	BLUNT_P	007t	Heavy War Axe
12059	91	S	5	297	137	BLUNT_P	007t	Heavy War Axe
92	92	B	3			BIGBLUNT_M	005t	Sprite's Staff
12060	92	A	4	245	161	BIGBLUNT_M	005t	Sprite's Staff
12061	92	S	5	290	182	BIGBLUNT_M	005t	Sprite's Staff
93	93	D	1			POLE	002t	Winged Spear
12062	93	C	2	156	83	POLE	002t	Winged Spear
12063	93	B	3	194	99	POLE	002t	Winged Spear
12064	93	A	4	258	121	POLE	002t	Winged Spear
12065	93	S	5	297	137	POLE	002t	Winged Spear
94	94	C	2			POLE	002t	Bec de Corbin
12066	94	B	3	194	99	POLE	002t	Bec de Corbin
12067	94	A	4	258	121	POLE	002t	Bec de Corbin
12068	94	S	5	297	137	POLE	002t	Bec de Corbin
