"id","name","swap","keepName"
"82","God's Blade","6364","Forgotten Blade"
"120","Sword of Reflection","121","Sword of Watershadow"
"165","Yablonski's Hammer","6365","Basalt Battlehammer"
"177","Mage Staff","176","Journeyman's Staff"
"208","Staff of Seal","207","Staff of Phantom"
"209","Divine Staff","207","Staff of Phantom"
"211","Staff of Nobility","207","Staff of Phantom"
"214","The Staff","6366","Imperial Staff"
"237","Dragon's Tooth","6367","Angel Slayer"
"256","Cestus","257","Viper's Fang"
"290","The Bow","6368","Shining Bow"
"307","Aurakyria Lance","6370","Saint Spear"
"310","Relic of The Saints","99","Apprentice's Spellbook"
"320","Blue Crystal Skull","319","Eye of Infinity"
"322","Vajra Wands","319","Eye of Infinity"
"323","Ancient Reagent","319","Eye of Infinity"
"327","Hex Doll","324","Tears of Fairy"
"328","Candle of Wisdom","324","Tears of Fairy"
"329","Blessed Branch","324","Tears of Fairy"
"330","Phoenix Feather","324","Tears of Fairy"
"331","Cerberus Eye","324","Tears of Fairy"
"332","Scroll of Destruction","324","Tears of Fairy"
"333","Claws of Black Dragon","324","Tears of Fairy"
"334","Three Eyed Crow's Feather","324","Tears of Fairy"
"336","Scroll of Mana","335","Soul Crystal"
"337","Scroll of Massacre","335","Soul Crystal"
"338","Wyvern's Skull","335","Soul Crystal"
"339","Blood Crystal","335","Soul Crystal"
"340","Unicorn's Horn","335","Soul Crystal"
"342","Enchanted Flute","341","Forgotten Tome"
"343","Headless Arrow","341","Forgotten Tome"
"344","Proof of Overlord","341","Forgotten Tome"
"345","Deathbringer Sword","341","Forgotten Tome"
"738","Sword of Solidarity","2","Long Sword"
"743","Sword of Sentinel","3","Broadsword"
"744","Staff of Sentinel","9","Cedar Staff"
"747","Wand of Adept","6","Apprentice's Wand"
"748","Gallint's Oak Wand","4","Club"
"749","0","178","Bone Staff"
"754","Red Sunset Staff","9","Cedar Staff"
"975","Blood Saber","3","Broadsword"
"981","Red Sunset Sword","1333","Brandish"
"989","Eldritch Dagger","12","Knife"
"1142","Rusted Bronze Sword","3","Broadsword"
"1181","Neti's Bow","14","Bow"
"1182","Neti's Dagger","12","Knife"
"1213","Guard's Bow","14","Bow"
"1295","Long Sword","2","Long Sword"
"1296","Gladius","66","Gladius"
"1300","Apprentice's Rod","7","Apprentice's Rod"
"1304","Conjuror's Staff","176","Journeyman's Staff"
"1305","Knife","12","Knife"
"1306","Crafted Dagger","12","Knife"
"1307","Bow","14","Bow"
"1510","Butcher's Sword","67","Orcish Sword"
"1511","Silversmith Hammer","87","Iron Hammer"
"1660","Cursed Maingauche","224","Maingauche"
"2370","Guild Member's Club","4","Club"
"2371","Fist of Butcher","254","Iron Gloves"
"2372","Dagger of Adept","215","Doom Dagger"
"2373","Eldritch Staff","176","Journeyman's Staff"
"2374","Red Sunset Dagger","215","Doom Dagger"
"2501","Bone Club","4","Club"
"2915","Old Knight Sword","2","Long Sword"
"3026","Talins Spear","15","Short Spear"
"3027","Old Knight's Sword","1333","Brandish"
"3028","Crescent Moon Bow","13","Short Bow"
"3029","Sword of Binding","66","Gladius"
"3471","Cybellin's Dagger","215","Doom Dagger"
"4665","Pipette Knife","12","Knife"
"6354","Falchion - for Beginners","68","Falchion"
"6355","Mage Staff - for Beginners","176","Journeyman's Staff"
"7816","Apprentice Adventurer's Staff","176","Journeyman's Staff"
"7817","Apprentice Adventurer's Bone Club","4","Club"
"7818","Apprentice Adventurer's Knife","217","Shining Knife"
"7819","Apprentice Adventurer's Cestus","257","Viper's Fang"
"7820","Apprentice Adventurer's Bow","272","Forest Bow"
"7821","Apprentice Adventurer's Long Sword","2","Long Sword"
"7822","Traveler's Mace","179","Mace of Prayer"
"7823","Traveler's Dark Elven Bow","277","Dark Elven Bow"
"7824","Traveler's Long Bow","274","Strengthened Bow"
"7825","Traveler's Staff","185","Staff of Mana"
"7826","Traveler's Bastard Sword","69","Bastard Sword"
"7827","Traveler's Wand","315","Divine Tome"
"7828","Traveler's Jamadhr","258","Bagh-Nakh"
"7829","Traveler's Tomahawk","86","Tomahawk"
"7830","Traveler's Poniard Dagger","222","Poniard Dagger"
"7831","Traveler's Pike","292","Pike"
"7834","Art of Battle Axe","175","Art of Battle Axe"
"8576","Apprentice's Staff (Event)","176","Journeyman's Staff"
"8577","Bone Club (Event)","4","Club"
"8578","Shining Knife (Event)","217","Shining Knife"
"8579","Cestus (Event)","257","Viper's Fang"
"8580","Forest Bow (Event)","272","Forest Bow"
"8581","Long Sword (Event)","2","Long Sword"
"8582","Mace of Prayer (Event)","179","Mace of Prayer"
"8583","Dark Elven Bow (Event)","277","Dark Elven Bow"
"8584","Long Bow (Event)","274","Strengthened Bow"
"8585","Staff of Mana (Event)","185","Staff of Mana"
"8586","Bastard Sword (Event)","69","Bastard Sword"
"8587","Divine Tomb (Event)","315","Divine Tome"
"8588","Single-Edged Jamadhr (Event)","258","Bagh-Nakh"
"8589","Tomahawk (Event)","86","Tomahawk"
"8590","Poniard Daggar (Event)","222","Poniard Dagger"
"8591","Pike (Event)","292","Pike"
"9141","Redemption Bow - Event Use","9140","Salvation Bow"
