"id","name","swap","keepName"
"68","Falchion","146","Ghoulbane"
"99","Apprentice's Spellbook","319","Eye of Infinity"
"137","Mist Sword","84","Homunkulus's Sword"
"138","Sword of Desert","69","Bastard Sword"
"139","Dusk Sword","145","Sword of Whispering Death"
"140","Eminence Sword","76","Sword of Delusion"
"141","Hazard Sword","129","Sword of Revolution"
"147","Tear of Darkness","73","Shamshir"
"163","_","162","War Axe"
"170","_","162","War Axe"
"176","Journeyman's Staff","178","Bone Staff"
"207","Staff of Phantom","178","Bone Staff"
"216","Dirk","222","Poniard Dagger"
"264","Pata","263","Chakram"
"1297","Bastard Sword","69","Bastard Sword"
"1298","Caliburs","75","Caliburs"
"1301","Big Hammer","89","Big Hammer"
"1302","Bec de Corbin","94","Bec de Corbin"
"1303","Lance","97","Lance"
"4219","Dream Sword","128","Knight's Sword"
"4220","Dream Knife","221","Assassin Knife"
"4221","Ubiquitous Axe","86","Tomahawk"
