weapon	class	from	NG	D	C	B	A	S
Short Sword	SWORD_P	NG	1					
Long Sword	SWORD_P	NG	2					
Broadsword	SWORD_P	NG	3					
Club	BLUNT_P	NG	4					
Mace	BLUNT_P	NG	5					
Apprentice's Wand	BLUNT_M	NG	6					
Apprentice's Rod	BLUNT_M	NG	7					
Willow Staff	BIGBLUNT_M	NG	8					
Cedar Staff	BIGBLUNT_M	NG	9					
Dagger	DAGGER_P	NG	10					
Bone Dagger	DAGGER_P	NG	11					
Knife	DAGGER_P	NG	12					
Short Bow	BOW	NG	13					
Bow	BOW	NG	14					
Short Spear	POLE	NG	15					
Long Spear	POLE	NG	16					
Gladius	SWORD_P	NG	66					
Orcish Sword	SWORD_P	NG	67					
Falchion	SWORD_P	NG	68					
Bastard Sword	SWORD_P	D		69	12000	12001	12002	12003
Claymore	BIGSWORD	D		70	12004	12005	12006	12007
Flamberge	BIGSWORD	C			71	12008	12009	12010
Stormbringer	SWORD_P	C			72	12011	12012	12013
Shamshir	SWORD_P	C			73	12014	12015	12016
Katana	SWORD_P	C			74	12017	12018	12019
Caliburs	SWORD_P	C			75	12020	12021	12022
Sword of Delusion	SWORD_P	C			76	12023	12024	12025
Tsurugi	SWORD_P	C			77	12026	12027	12028
Great Sword	BIGSWORD	B				78	12029	12030
Sword of Damascus	SWORD_P	B				79	12031	12032
Tallum Blade	SWORD_P	A					80	12033
Dragon Slayer	BIGSWORD	A					81	12034
God's Blade	SWORD_P	S						82
Sword of Magic	SWORD_M	D		83	12035	12036	12037	12038
Homunkulus's Sword	SWORD_M	C			84	12039	12040	12041
Phantom Sword	SWORD_M	A					85	12042
Tomahawk	BLUNT_P	D		86	12043	12044	12045	12046
Iron Hammer	BLUNT_P	NG	87					
Morning Star	BLUNT_P	D		88	12047	12048	12049	12050
Big Hammer	BLUNT_P	C			89	12051	12052	12053
Goat Head Staff	BIGBLUNT_M	D		90	12054	12055	12056	12057
Heavy War Axe	BLUNT_P	B				91	12058	12059
Sprite's Staff	BIGBLUNT_M	B				92	12060	12061
Winged Spear	POLE	D		93	12062	12063	12064	12065
Bec de Corbin	POLE	C			94	12066	12067	12068
Poleaxe	POLE	C			95	12069	12070	12071
Scythe	POLE	C			96	12072	12073	12074
Lance	POLE	B				97	12075	12076
Halberd	POLE	A					98	12077
Apprentice's Spellbook	ETC_M	NG	99					
Voodoo Doll	ETC_M	NG	100					
Scroll of Wisdom	ETC_M	D		101	12078	12079	12080	12081
Sword of Reflection	SWORD_P	NG	120					
Sword of Watershadow	SWORD_P	NG	121					
Handmade Sword	SWORD_P	NG	122					
Saber	SWORD_P	D		123	12082	12083	12084	12085
Two-Handed Sword	BIGSWORD	D		124	12086	12087	12088	12089
Spinebone Sword	SWORD_P	D		125	12090	12091	12092	12093
Artisan's Sword	SWORD_P	D		126	12094	12095	12096	12097
Crimson Sword	SWORD_P	D		127	12098	12099	12100	12101
Knight's Sword	SWORD_P	D		128	12102	12103	12104	12105
Sword of Revolution	SWORD_P	D		129	12106	12107	12108	12109
Elven Sword	SWORD_P	D		130	12110	12111	12112	12113
Spirit Sword	SWORD_P	C			131	12114	12115	12116
Sword of Limit	SWORD_P	C			132	12117	12118	12119
Raid Sword	SWORD_P	C			133	12120	12121	12122
Sword of Nightmare	SWORD_P	C			134	12123	12124	12125
Samurai Longsword	SWORD_P	C			135	12126	12127	12128
Blade of Serenity	SWORD_P	B				136	12129	12130
Mist Sword	SWORD_P	B				137	12131	12132
Sword of Desert	SWORD_P	B				138	12133	12134
Dusk Sword	SWORD_P	B				139	12135	12136
Eminence Sword	SWORD_P	B				140	12137	12138
Hazard Sword	SWORD_P	B				141	12139	12140
Keshanberk	SWORD_P	B				142	12141	12142
Sword of Mystic	SWORD_M	D		143	12143	12144	12145	12146
Sword of Occult	SWORD_M	D		144	12147	12148	12149	12150
Sword of Whispering Death	SWORD_M	C			145	12151	12152	12153
Ghoulbane	SWORD_M	B				146	12154	12155
Tear of Darkness	SWORD_M	A					147	12156
Sword of Valhalla	SWORD_M	B				148	12157	12158
Sword of Life	SWORD_M	A					149	12159
Elemental Sword	SWORD_M	A					150	12160
Sword of Miracles	SWORD_M	A					151	12161
Heavy Chisel	BLUNT_P	NG	152					
Sickle	BLUNT_P	NG	153					
