"id","name","grade","base"
"4681","Stormbringer - Critical Anger","C","72"
"4682","Stormbringer - Focus","C","72"
"4683","Stormbringer - Light","C","72"
"4684","Shamshir - Guidance","C","73"
"4685","Shamshir - Back Blow","C","73"
"4686","Shamshir - Rsk. Evasion","C","73"
"4687","Katana - Focus","C","74"
"4688","Katana - Critical Damage","C","74"
"4689","Katana - Haste","C","74"
"4690","Spirit Sword - Critical Damage","C","131"
"4691","Spirit Sword - Critical Poison","C","131"
"4692","Spirit Sword - Haste","C","131"
"4693","Raid Sword - Focus","C","133"
"4694","Raid Sword - Critical Drain","C","133"
"4695","Raid Sword - Critical Poison","C","133"
"4696","Caliburs - Guidance","C","75"
"4697","Caliburs - Focus","C","75"
"4698","Caliburs - Critical Damage","C","75"
"4699","Sword of Delusion - Focus","C","76"
"4701","Sword of Delusion - Rsk. Haste","C","76"
"4702","Tsurugi - Focus","C","77"
"4703","Tsurugi - Critical Damage","C","77"
"4704","Tsurugi - Haste","C","77"
"4705","Sword of Nightmare - Health","C","134"
"4706","Sword of Nightmare - Focus","C","134"
"4707","Sword of Nightmare - Light","C","134"
"4708","Samurai Longsword - Focus","C","135"
"4709","Samurai Longsword - Critical Damage","C","135"
"4710","Samurai Longsword - Haste","C","135"
"4711","Flamberge - Critical Damage","C","71"
"4712","Flamberge - Focus","C","71"
"4713","Flamberge - Light","C","71"
"4714","Keshanberk - Guidance","B","142"
"4715","Keshanberk - Focus","B","142"
"4716","Keshanberk - Back Blow","B","142"
"4717","Sword of Damascus - Focus","B","79"
"4718","Sword of Damascus - Critical Damage","B","79"
"4719","Sword of Damascus - Haste","B","79"
"4720","Tallum Blade - Health","A","80"
"4721","Tallum Blade - Rsk. Evasion","A","80"
"4722","Tallum Blade - Rsk. Haste","A","80"
"4723","Great Sword - Health","B","78"
"4724","Great Sword - Critical Damage","B","78"
"4725","Great Sword - Focus","B","78"
"4726","Big Hammer - Health","C","89"
"4727","Big Hammer - Rsk.Focus","C","89"
"4728","Big Hammer - Haste","C","89"
"4729","Battle Axe - Anger","C","160"
"4730","Battle Axe - Rsk.Focus","C","160"
"4731","Battle Axe - Haste","C","160"
"4732","Silver Axe - Anger","C","161"
"4733","Silver Axe - Rsk.Focus","C","161"
"4734","Silver Axe - Haste","C","161"
"4735","Skull Graver - Anger","C","173"
"4736","Skull Graver - Health","C","173"
"4737","Skull Graver - Rsk.Focus","C","173"
"4738","Dwarven War Hammer - Anger","C","2502"
"4739","Dwarven War Hammer - Health","C","2502"
"4740","Dwarven War Hammer - Haste","C","2502"
"4741","War Axe - Anger","C","162"
"4742","War Axe - Health","C","162"
"4743","War Axe - Haste","C","162"
"4744","Yaksa Mace - Anger","C","2503"
"4745","Yaksa Mace - Health","C","2503"
"4746","Yaksa Mace - Rsk. Focus","C","2503"
"4747","Heavy War Axe - Anger","B","91"
"4748","Heavy War Axe - Health","B","91"
"4749","Heavy War Axe - Rsk. Focus","B","91"
"4750","Deadman's Glory - Anger","B","171"
"4751","Deadman's Glory - Health","B","171"
"4752","Deadman's Glory - Haste","B","171"
"4753","Art of Battle Axe - Health","B","175"
"4754","Art of Battle Axe - Rsk. Focus","B","175"
"4755","Art of Battle Axe - Haste","B","175"
"4756","Meteor Shower - Health","A","2504"
"4757","Meteor Shower - Focus","A","2504"
"4758","Meteor Shower - P.Focus","A","2504"
"4759","Cursed Dagger - Critical Bleed","C","226"
"4760","Cursed Dagger - Critical Poison","C","226"
"4761","Cursed Dagger - Rsk. Haste","C","226"
"4762","Dark Elven Dagger - Focus","C","232"
"4763","Dark Elven Dagger - Back Blow","C","232"
"4764","Dark Elven Dagger - Mortal Strike","C","232"
"4765","Stiletto - Critical Bleed","C","227"
"4766","Stiletto - Critical Poison","C","227"
"4767","Stiletto - Mortal Strike","C","227"
"4768","Grace Dagger - Evasion","C","231"
"4769","Grace Dagger - Focus","C","231"
"4770","Grace Dagger - Back Blow","C","231"
"4771","Dark Screamer - Evasion","C","233"
"4772","Dark Screamer - Focus","C","233"
"4773","Dark Screamer - Critical Bleed","C","233"
"4774","Crystal Dagger - Critical Bleed","C","228"
"4775","Crystal Dagger - Critical Poison","C","228"
"4776","Crystal Dagger - Mortal Strike","C","228"
"4777","Kris - Evasion","B","229"
"4778","Kris - Focus","B","229"
"4779","Kris - Back Blow","B","229"
"4780","Demon Dagger - Critical Bleed","B","234"
"4781","Demon Dagger - Critical Poison","B","234"
"4782","Demon Dagger - Mortal Strike","B","234"
"4783","Bloody Orchid - Evasion","A","235"
"4784","Bloody Orchid - Focus","A","235"
"4785","Bloody Orchid - Back Blow","A","235"
"4786","Hell Knife - Focus","B","243"
"4787","Hell Knife - Back Blow","B","243"
"4788","Hell Knife - Mortal Strike","B","243"
"4789","Chakram - Critical Drain","C","263"
"4790","Chakram - Critical Poison","C","263"
"4791","Chakram - Rsk. Haste","C","263"
"4792","Fisted Blade - Rsk. Evasion","C","265"
"4793","Fisted Blade - Rsk. Haste","C","265"
"4794","Fisted Blade - Haste","C","265"
"4795","Great Pata - Critical Drain","C","266"
"4796","Great Pata - Critical Poison","C","266"
"4797","Great Pata - Rsk. Haste","C","266"
"4798","Knuckle Duster - Rsk. Evasion","C","4233"
"4799","Knuckle Duster - Rsk. Haste","C","4233"
"4800","Knuckle Duster - Haste","C","4233"
"4801","Arthro Nail - Critical Poison","B","267"
"4802","Arthro Nail - Rsk. Evasion","B","267"
"4803","Arthro Nail - Rsk. Haste","B","267"
"4804","Bellion Cestus - Critical Drain","B","268"
"4805","Bellion Cestus - Critical Poison","B","268"
"4806","Bellion Cestus - Rsk. Haste","B","268"
"4807","Blood Tornado - Critical Drain","A","269"
"4808","Blood Tornado - Rsk. Evasion","A","269"
"4809","Blood Tornado - Haste","A","269"
"4810","Crystallized Ice Bow - Guidance","C","281"
"4811","Crystallized Ice Bow - Evasion","C","281"
"4812","Crystallized Ice Bow - Quick Recovery","C","281"
"4813","Elemental Bow - Guidance","C","282"
"4814","Elemental Bow - Miser","C","282"
"4815","Elemental Bow - Quick Recovery","C","282"
"4816","Elven Bow of Nobility - Evasion","C","285"
"4817","Elven Bow of Nobility - Miser","C","285"
"4818","Elven Bow of Nobility - Cheap Shot","C","285"
"4819","Akat Long Bow - Guidance","C","283"
"4820","Akat Long Bow - Evasion","C","283"
"4821","Akat Long Bow - Miser","C","283"
"4822","Eminence Bow - Guidance","C","286"
"4823","Eminence Bow - Miser","C","286"
"4824","Eminence Bow - Cheap Shot","C","286"
"4825","Dark Elven Long Bow - Evasion","B","284"
"4826","Dark Elven Long Bow - Critical Bleed","B","284"
"4827","Dark Elven Long Bow - Miser","B","284"
"4828","Bow of Peril - Guidance","B","287"
"4829","Bow of Peril - Quick Recovery","B","287"
"4830","Bow of Peril - Cheap Shot","B","287"
"4831","Carnage Bow - Critical Bleed","A","288"
"4832","Carnage Bow - Mana Up","A","288"
"4833","Carnage Bow - Quick Recovery","A","288"
"4834","Scythe - Anger","C","96"
"4835","Scythe - Critical Stun","C","96"
"4836","Scythe - Light","C","96"
"4837","Orcish Glaive - Anger","C","298"
"4838","Orcish Glaive - Critical Stun","C","298"
"4839","Orcish Glaive - Towering Blow","C","298"
"4840","Body Slasher - Critical Stun","C","302"
"4841","Body Slasher - Towering Blow","C","302"
"4842","Body Slasher - Wide Blow","C","302"
"4843","Bec de Corbin - Critical Stun","C","94"
"4844","Bec de Corbin - Towering Blow","C","94"
"4845","Bec de Corbin - Light","C","94"
"4846","Scorpion - Anger","C","301"
"4847","Scorpion - Critical Stun","C","301"
"4848","Scorpion - Towering Blow","C","301"
"4849","Widow Maker - Critical Stun","C","303"
"4850","Widow Maker - Towering Blow","C","303"
"4851","Widow Maker - Wide Blow","C","303"
"4852","Orcish Poleaxe - Critical Stun","C","299"
"4853","Orcish Poleaxe - Towering Blow","C","299"
"4854","Orcish Poleaxe - Wide Blow","C","299"
"4855","Great Axe - Anger","B","300"
"4856","Great Axe - Critical Stun","B","300"
"4857","Great Axe - Light","B","300"
"4858","Lance - Anger","B","97"
"4859","Lance - Critical Stun","B","97"
"4860","Lance - Towering Blow","B","97"
"4861","Halberd - Critical Stun","A","98"
"4862","Halberd - Towering Blow","A","98"
"4863","Halberd - Wide Blow","A","98"
"4864","Heavy Doom Hammer - Magic Regeneration","C","191"
"4865","Heavy Doom Hammer - Mental Shield","C","191"
"4866","Heavy Doom Hammer - Magic Hold","C","191"
"4867","Crystal Staff - Rsk. Evasion","C","192"
"4868","Crystal Staff - Mana Up","C","192"
"4869","Crystal Staff - Bodily Blessing","C","192"
"4870","Heavy Doom Axe - Magic Poison","C","194"
"4871","Heavy Doom Axe - Magic Weakness","C","194"
"4872","Heavy Doom Axe - Magic Chaos","C","194"
"4873","Cursed Staff - Magic Hold","C","195"
"4874","Cursed Staff - Magic Poison","C","195"
"4875","Cursed Staff - Magic Weakness","C","195"
"4876","Paradia Staff - Magic Regeneration","C","197"
"4877","Paradia Staff - Mental Shield","C","197"
"4878","Paradia Staff - Magic Hold","C","197"
"4879","Pa'agrian Hammer - Rsk. Evasion","C","199"
"4880","Pa'agrian Hammer - Magic Poison","C","199"
"4881","Pa'agrian Hammer - Magic Weakness","C","199"
"4882","Sage's Staff - Magic Hold","C","200"
"4883","Sage's Staff - Magic Poison","C","200"
"4884","Sage's Staff - Magic Weakness","C","200"
"4885","Pa'agrian Axe - Mana Up","C","203"
"4886","Pa'agrian Axe - Magic Weakness","C","203"
"4887","Pa'agrian Axe - Magic Chaos","C","203"
"4888","Deadman's Staff - Magic Regeneration","C","204"
"4889","Deadman's Staff - Mental Shield","C","204"
"4890","Deadman's Staff - Magic Hold","C","204"
"4891","Ghoul's Staff - Rsk. Evasion","C","205"
"4892","Ghoul's Staff - Mana Up","C","205"
"4893","Ghoul's Staff - Bodily Blessing","C","205"
"4894","Demon's Staff - Magic Poison","C","206"
"4895","Demon's Staff - Magic Weakness","C","206"
"4896","Demon's Staff - Magic Chaos","C","206"
"4897","Sprite's Staff - Magic Regeneration","B","92"
"4898","Sprite's Staff - Mental Shield","B","92"
"4899","Sprite's Staff - Magic Hold","B","92"
"4901","Staff of Evil Spirits - Bodily Blessing","B","210"
"4902","Staff of Evil Spirits - Magic Poison","B","210"
"5596","Dasparion's Staff - Mana Up","A","212"
"5597","Dasparion's Staff - Conversion","A","212"
"5598","Dasparion's Staff - Acumen","A","212"
"5599","Meteor Shower - Focus","A","2504"
"5600","Meteor Shower - Critical Bleed","A","2504"
"5601","Meteor Shower - Rsk. Haste","A","2504"
"5602","Elysian - Health","A","164"
"5603","Elysian - Anger","A","164"
"5604","Elysian - Critical Drain","A","164"
"5605","Branch of The Mother Tree - Conversion","A","213"
"5606","Branch of The Mother Tree - Magic Damage","A","213"
"5607","Branch of The Mother Tree - Acumen","A","213"
"5608","Carnage Bow - Light","A","288"
"5609","Carnage Bow - Critical Bleed","A","288"
"5610","Carnage Bow - Mana Up","A","288"
"5611","Soul Bow - Cheap Shot","A","289"
"5612","Soul Bow - Quick Recovery","A","289"
"5613","Soul Bow - Critical Poison","A","289"
