"id","name","class","grade","why"
"8821","Shadow Item: Two Handed Sword","BIGSWORD","D","shadow"
"8822","Shadow Item: Crimson Sword","SWORD","D","shadow"
"8823","Shadow Item: Spiked Club","BLUNT","D","shadow"
"8824","Shadow Item: Staff of Magic","BIGBLUNT","D","shadow"
"8825","Shadow Item: Kukuri","DAGGER","D","shadow"
"8826","Shadow Item: Dagger of Mana","DAGGER","D","shadow"
"8827","Shadow Item: Triple-Edged Jamadhr","DUALFIST","D","shadow"
"8828","Shadow Item: Gastraphetes","BOW","D","shadow"
"8829","Shadow Item: War Hammer","POLE","D","shadow"
"8830","Shadow Item: Katana","SWORD","C","shadow"
"8831","Shadow Item: Bec de Corbin","POLE","C","shadow"
"8832","Shadow Item: Cursed Staff","BIGBLUNT","C","shadow"
"8833","Shadow Item: Stiletto","DAGGER","C","shadow"
"8834","Shadow Item: Soulfire Dirk","DAGGER","C","shadow"
"8835","Shadow Item: Elemental Bow","BOW","C","shadow"
"8836","Shadow Item: Dwarven War Hammer","BLUNT","C","shadow"
"8837","Shadow Item: Sword of Revolution","DUAL","C","shadow"
"8838","Shadow Item: Knuckle Duster","DUALFIST","C","shadow"
"8839","Shadow Item: Sword of Delusion","SWORD","C","shadow"
"8840","Shadow Item: Poleaxe","POLE","C","shadow"
"8841","Shadow Item: Stick of Eternity","BLUNT","C","shadow"
"8842","Shadow Item: Inferno Staff","BIGBLUNT","C","shadow"
"8843","Shadow Item: Pa'agrian Hammer","BIGBLUNT","C","shadow"
"8844","Shadow Item: Dark Screamer","DAGGER","C","shadow"
"8845","Shadow Item: Akat Long Bow","BOW","C","shadow"
"8846","Shadow Item: Pa'agrian Sword","BIGSWORD","C","shadow"
"8847","Shadow Item: Fisted Blade","DUALFIST","C","shadow"
"8848","Shadow Item: Stormbringer","DUAL","C","shadow"
"8849","Shadow Item: Great Sword","BIGSWORD","B","shadow"
"8850","Shadow Item: Heavy War Axe","BLUNT","B","shadow"
"8851","Shadow Item: Sprite's Staff","BIGBLUNT","B","shadow"
"8852","Shadow Item: Keshanberk","SWORD","B","shadow"
"8853","Shadow Item: Sword of Valhalla","SWORD","B","shadow"
"8854","Shadow Item: Kris","DAGGER","B","shadow"
"8855","Shadow Item: Arthro Nail","DUALFIST","B","shadow"
"8856","Shadow Item: Dark Elven Long Bow","BOW","B","shadow"
"8857","Shadow Item: Swords of Delusion","DUAL","B","shadow"
"8858","Shadow Item: Great Axe","POLE","B","shadow"
"8859","Shadow Item: Tallum Blade","SWORD","A","shadow"
"8860","Shadow Item: Halberd","POLE","A","shadow"
"8861","Shadow Item: Dasparion's Staff","BIGBLUNT","A","shadow"
"8862","Shadow Item: Bloody Orchid","DAGGER","A","shadow"
"8863","Shadow Item: Blood Tornado","DUALFIST","A","shadow"
"8864","Shadow Item: Carnage Bow","BOW","A","shadow"
"8865","Shadow Item: Dual Keshanberk","DUAL","A","shadow"
"8866","Shadow Item: Meteor Shower","BLUNT","A","shadow"
"8867","Shadow Item: Inferno Master","BIGSWORD","A","shadow"
"8926","Shadow Item: Sword of Delusion","SWORD","C","shadow"
"8927","Shadow Item: Poleaxe","POLE","C","shadow"
"8928","Shadow Item: Stick of Eternity","BLUNT","C","shadow"
"8929","Shadow Item: Inferno Staff","BIGBLUNT","C","shadow"
"8930","Shadow Item: Pa'agrian Hammer","BIGBLUNT","C","shadow"
"8931","Shadow Item: Dark Screamer","DAGGER","C","shadow"
"8932","Shadow Item: Akat Long Bow","BOW","C","shadow"
"8933","Shadow Item: Pa'agrian Sword","BIGSWORD","C","shadow"
"8934","Shadow Item: Fisted Blade","DUALFIST","C","shadow"
"8937","Shadow Item: Stormbringer","DUAL","C","shadow"
"8972","Shadow Item: Long Spear","POLE","","shadow"
"8973","Shadow Item: Falchion","SWORD","","shadow"
"8974","Shadow Item: Iron Hammer","BLUNT","","shadow"
"8975","Shadow Item: Voodoo Doll","ETC","","shadow"
"8976","Shadow Item: Buzdygan","BLUNT","","shadow"
"8977","Shadow Item: Mage Staff","BIGBLUNT","","shadow"
"8978","Shadow Item: Sword Breaker","DAGGER","","shadow"
"8979","Shadow Item: Viper's Fang","DUALFIST","","shadow"
"8980","Shadow Item: Composition Bow","BOW","","shadow"
"8981","Shadow Item: Crucifix of Blessing","ETC","","shadow"
"8982","Shadow Item: Two Handed Sword","BIGSWORD","D","shadow"
"8983","Shadow Item: Crimson Sword","SWORD","D","shadow"
"8984","Shadow Item: Spiked Club","BLUNT","D","shadow"
"8985","Shadow Item: Staff of Magic","BIGBLUNT","D","shadow"
"8986","Shadow Item: Kukuri","DAGGER","D","shadow"
"8987","Shadow Item: Dagger of Mana","DAGGER","D","shadow"
"8988","Shadow Item: Triple-Edged Jamadhr","DUALFIST","D","shadow"
"8989","Shadow Item: Gastraphetes","BOW","D","shadow"
"8990","Shadow Item: War Hammer","POLE","D","shadow"
"8991","Shadow Item: Sword of Delusion","SWORD","C","shadow"
"8992","Shadow Item: Poleaxe","POLE","C","shadow"
"8993","Shadow Item: Stick of Eternity","BLUNT","C","shadow"
"8994","Shadow Item: Inferno Staff","BIGBLUNT","C","shadow"
"8995","Shadow Item: Pa'agrian Hammer","BIGBLUNT","C","shadow"
"8996","Shadow Item: Dark Screamer","DAGGER","C","shadow"
"8997","Shadow Item: Akat Long Bow","BOW","C","shadow"
"8998","Shadow Item: Pa'agrian Sword","BIGSWORD","C","shadow"
"8999","Shadow Item: Fisted Blade","DUALFIST","C","shadow"
"9000","Shadow Item: Stormbringer*Stormbringer","DUAL","C","shadow"
"9001","Shadow Item: Great Sword","BIGSWORD","B","shadow"
"9002","Shadow Item: Heavy War Axe","BLUNT","B","shadow"
"9003","Shadow Item: Sprite's Staff","BIGBLUNT","B","shadow"
"9004","Shadow Item: Keshanberk","SWORD","B","shadow"
"9005","Shadow Item: Sword of Valhalla","SWORD","B","shadow"
"9006","Shadow Item: Kris","DAGGER","B","shadow"
"9007","Shadow Item: Arthro Nail","DUALFIST","B","shadow"
"9008","Shadow Item: Dark Elven Long Bow","BOW","B","shadow"
"9009","Shadow Item: Sword of Delusion*Sword of Delusion","DUAL","B","shadow"
"9010","Shadow Item: Great Axe","POLE","B","shadow"
"9011","Shadow Item: Tallum Blade","SWORD","A","shadow"
"9012","Shadow Item: Halberd","POLE","A","shadow"
"9013","Shadow Item: Dasparion's Staff","BIGBLUNT","A","shadow"
"9014","Shadow Item: Bloody Orchid","DAGGER","A","shadow"
"9015","Shadow Item: Blood Tornado","DUALFIST","A","shadow"
"9016","Shadow Item: Carnage Bow","BOW","A","shadow"
"9017","Shadow Item: Keshanberk*Keshanberk","DUAL","A","shadow"
"9018","Shadow Item: Meteor Shower","BLUNT","A","shadow"
"9019","Shadow Item: Inferno Master","BIGSWORD","A","shadow"
"9020","Shadow Item: Keshanberk*Damascus","DUAL","A","shadow"
"9021","Shadow Item: Dragon Slayer","BIGSWORD","A","shadow"
"9022","Shadow Item: Sword of Miracles","SWORD","A","shadow"
"9023","Shadow Item: Elysian","BLUNT","A","shadow"
"9024","Shadow Item: Branch of the Mother Tree","BIGBLUNT","A","shadow"
"9025","Shadow Item: Soul Separator","DAGGER","A","shadow"
"9026","Shadow Item: Dragon Grinder","DUALFIST","A","shadow"
"9027","Shadow Item: Soul Bow","BOW","A","shadow"
"9028","Shadow Item: Tallum Glaive","POLE","A","shadow"
"9029","Shadow Item: Dark Legion","SWORD","A","shadow"
