"id","name","class","grade","why"
"2516","Saber*Saber","DUAL","D","dual of Saber"
"2517","Saber*Bastard Sword","DUAL","D","dual of Saber"
"2518","Saber*Spinebone Sword","DUAL","D","dual of Saber"
"2519","Saber*Artisan's Sword","DUAL","D","dual of Saber"
"2520","Saber*Knight's Sword","DUAL","D","dual of Saber"
"2521","Saber*Crimson Sword","DUAL","D","dual of Crimson Sword + Saber"
"2522","Saber*Elven Sword","DUAL","D","dual of Saber"
"2523","Saber*Sword of Revolution","DUAL","C","dual of Saber"
"2524","Saber*Elven Long Sword","DUAL","C","dual of Saber"
"2529","Bastard Sword*Crimson Sword","DUAL","D","dual of Crimson Sword"
"2536","Spinebone Sword*Crimson Sword","DUAL","D","dual of Crimson Sword"
"2542","Artisan's Sword*Crimson Sword","DUAL","D","dual of Crimson Sword"
"2547","Knight's Sword*Crimson Sword","DUAL","D","dual of Crimson Sword"
"2551","Crimson Sword*Crimson Sword","DUAL","C","dual of Crimson Sword"
"2552","Crimson Sword*Elven Sword","DUAL","C","dual of Crimson Sword"
"2553","Crimson Sword*Sword of Revolution","DUAL","C","dual of Crimson Sword"
"2554","Crimson Sword*Elven Long Sword","DUAL","C","dual of Crimson Sword"
"2562","Stormbringer*Shamshir","DUAL","C","dual of Shamshir"
"2563","Stormbringer*Katana","DUAL","C","dual of Katana"
"2568","Stormbringer*Sword of Delusion","DUAL","B","dual of Sword of Delusion"
"2572","Shamshir*Shamshir","DUAL","C","dual of Shamshir"
"2573","Shamshir*Katana","DUAL","C","dual of Katana + Shamshir"
"2574","Shamshir*Spirit Sword","DUAL","C","dual of Shamshir"
"2575","Shamshir*Raid Sword","DUAL","C","dual of Shamshir"
"2576","Shamshir*Caliburs","DUAL","B","dual of Shamshir"
"2577","Shamshir*Sword of Limit","DUAL","B","dual of Shamshir"
"2578","Shamshir*Sword of Delusion","DUAL","B","dual of Shamshir + Sword of Delusion"
"2579","Shamshir*Sword of Nightmare","DUAL","B","dual of Shamshir"
"2580","Shamshir*Tsurugi","DUAL","B","dual of Shamshir"
"2581","Shamshir*Samurai Long Sword","DUAL","B","dual of Shamshir"
"2582","Katana*Katana","DUAL","C","dual of Katana"
"2583","Katana*Spirit Sword","DUAL","C","dual of Katana"
"2584","Katana*Raid Sword","DUAL","C","dual of Katana"
"2585","Katana*Caliburs","DUAL","B","dual of Katana"
"2586","Katana*Sword of Limit","DUAL","B","dual of Katana"
"2587","Katana*Sword of Delusion","DUAL","B","dual of Katana + Sword of Delusion"
"2588","Katana*Sword of Nightmare","DUAL","B","dual of Katana"
"2589","Katana*Tsurugi","DUAL","B","dual of Katana"
"2590","Katana*Samurai Long Sword","DUAL","B","dual of Katana"
"2595","Spirit Sword*Sword of Delusion","DUAL","B","dual of Sword of Delusion"
"2602","Raid Sword*Sword of Delusion","DUAL","B","dual of Sword of Delusion"
"2608","Caliburs*Sword of Delusion","DUAL","B","dual of Sword of Delusion"
"2613","Sword of Limit*Sword of Delusion","DUAL","B","dual of Sword of Delusion"
"2617","Sword of Delusion*Sword of Delusion","DUAL","B","dual of Sword of Delusion"
"2618","Sword of Delusion*Sword of Nightmare","DUAL","B","dual of Sword of Delusion"
"2619","Sword of Delusion*Tsurugi","DUAL","B","dual of Sword of Delusion"
"2620","Sword of Delusion*Samurai Long Sword","DUAL","B","dual of Sword of Delusion"
"7887","Mysterious Sword","SWORD_M","C","sword"
"240","Conjurer's Knife","DAGGER_M","D","weapon"
